symbol,open,high,low,close,volume,adjclose,dividends,splits
GGBR4.SA,23.438095092773438,23.514284133911133,22.104761123657227,22.24761962890625,40234740,19.523483276367188,0.0,0.0
GGBR4.SA,22.019046783447266,22.409523010253906,21.24761962890625,22.28571319580078,18961635,19.556913375854492,0.0,0.0
GGBR4.SA,22.552379608154297,22.904760360717773,22.371427536010742,22.72380828857422,19714905,19.941368103027344,0.0,0.0
GGBR4.SA,22.180952072143555,22.180952072143555,21.333332061767578,21.828571319580078,22230705,19.155744552612305,0.0,0.0
GGBR4.SA,22.123809814453125,22.561904907226562,20.847618103027344,21.209522247314453,28692090,18.612497329711914,0.0,0.0
GGBR4.SA,21.53333282470703,22.21904754638672,21.36190414428711,22.047618865966797,14363265,19.347972869873047,0.0,0.0
GGBR4.SA,22.438095092773438,22.742856979370117,22.0,22.380952835083008,15714720,19.640491485595703,0.0,0.0
GGBR4.SA,22.761903762817383,23.05714225769043,22.161903381347656,22.28571319580078,13663545,19.556913375854492,0.0,0.0
GGBR4.SA,22.4761905670166,22.600000381469727,21.961904525756836,22.038095474243164,8788080,19.339616775512695,0.0,0.0
GGBR4.SA,21.561904907226562,21.657142639160156,21.019046783447266,21.28571319580078,16578135,18.679359436035156,0.0,0.0
GGBR4.SA,20.94285774230957,21.438095092773438,20.514284133911133,21.21904754638672,17008425,18.620859146118164,0.0,0.0
GGBR4.SA,20.97142791748047,21.39047622680664,20.857141494750977,21.104761123657227,6361530,18.520566940307617,0.0,0.0
GGBR4.SA,20.895238876342773,21.0,20.295238494873047,20.733333587646484,18285015,18.194618225097656,0.0,0.0
GGBR4.SA,20.714284896850586,21.25714111328125,20.399999618530273,21.161903381347656,11608695,18.570711135864258,0.0,0.0
GGBR4.SA,21.600000381469727,22.59047508239746,21.552379608154297,22.380952835083008,27819855,19.640491485595703,0.0,0.0
GGBR4.SA,22.428571701049805,22.895238876342773,22.095237731933594,22.266666412353516,13053180,19.540199279785156,0.0,0.0
GGBR4.SA,21.847618103027344,22.133333206176758,21.704761505126953,21.847618103027344,8618610,19.172460556030273,0.0,0.0
GGBR4.SA,21.619047164916992,22.27618980407715,21.200000762939453,22.019046783447266,11380845,19.322898864746094,0.0,0.0
GGBR4.SA,21.923809051513672,22.580951690673828,21.742856979370117,22.152379989624023,8596560,19.43990707397461,0.0,0.0
GGBR4.SA,21.75238037109375,21.83809471130371,20.9809513092041,21.161903381347656,13918905,18.570711135864258,0.0,0.0
GGBR4.SA,21.152379989624023,22.466665267944336,20.904760360717773,22.41904640197754,25802385,19.673921585083008,0.0,0.0
GGBR4.SA,22.685714721679688,22.904760360717773,22.076190948486328,22.266666412353516,11799060,19.540199279785156,0.0,0.0
GGBR4.SA,22.24761962890625,22.94285774230957,22.11428451538086,22.847618103027344,8438640,20.050016403198242,0.0,0.0
GGBR4.SA,22.561904907226562,22.771427154541016,22.209522247314453,22.676189422607422,8980545,19.899578094482422,0.0,0.0
GGBR4.SA,22.66666603088379,22.819047927856445,22.133333206176758,22.704761505126953,11510625,19.924652099609375,0.0,0.0
GGBR4.SA,23.200000762939453,23.771427154541016,22.628570556640625,22.676189422607422,10915695,19.899578094482422,0.0,0.0
GGBR4.SA,23.21904754638672,23.438095092773438,22.828571319580078,23.133333206176758,8348760,20.300745010375977,0.0,0.0
GGBR4.SA,23.333332061767578,23.371427536010742,22.657142639160156,22.895238876342773,7721910,20.091806411743164,0.0,0.0
GGBR4.SA,23.047618865966797,23.27618980407715,22.41904640197754,22.866666793823242,15392895,20.066734313964844,0.0,0.0
GGBR4.SA,22.961904525756836,23.409523010253906,22.828571319580078,22.9809513092041,12496050,20.167022705078125,0.0,0.0
GGBR4.SA,23.0,23.571428298950195,22.69523811340332,23.295238494873047,15162735,20.442825317382812,0.0,0.0
GGBR4.SA,23.457141876220703,23.457141876220703,22.380952835083008,22.542856216430664,13879215,19.782569885253906,0.0,0.0
GGBR4.SA,22.552379608154297,23.41904640197754,22.333332061767578,23.238094329833984,13398945,20.392681121826172,0.0,0.0
GGBR4.SA,23.466665267944336,23.580951690673828,21.94285774230957,22.295238494873047,25537890,19.56527328491211,0.0,0.0
GGBR4.SA,22.457141876220703,23.22857093811035,22.009523391723633,23.0,21443940,20.183738708496094,0.0,0.0
GGBR4.SA,23.019046783447266,23.742856979370117,23.0,23.4761905670166,11551260,20.601619720458984,0.0,0.0
GGBR4.SA,23.904760360717773,24.11428451538086,23.380952835083008,23.66666603088379,11561025,20.768774032592773,0.0,0.0
GGBR4.SA,23.895238876342773,24.133333206176758,23.399999618530273,24.047618865966797,11100705,21.10308074951172,0.0,0.0
GGBR4.SA,24.314285278320312,24.428571701049805,23.94285774230957,24.171428680419922,16488570,21.21173095703125,0.0,0.0
GGBR4.SA,24.514284133911133,24.857141494750977,24.266666412353516,24.36190414428711,15494115,21.378883361816406,0.0,0.0
GGBR4.SA,24.542856216430664,25.0,24.457141876220703,24.857141494750977,10536120,21.813480377197266,0.0,0.0
GGBR4.SA,24.600000381469727,24.657142639160156,24.05714225769043,24.5047607421875,9019080,21.504247665405273,0.0,0.0
GGBR4.SA,24.019046783447266,24.200000762939453,22.80952262878418,23.266666412353516,24876390,20.99715232849121,0.67619,0.0
GGBR4.SA,23.095237731933594,23.657142639160156,22.866666793823242,23.53333282470703,10905720,21.237808227539062,0.0,0.0
GGBR4.SA,23.761903762817383,23.80952262878418,23.009523391723633,23.066665649414062,11750865,20.816659927368164,0.0,0.0
GGBR4.SA,22.885713577270508,23.019046783447266,22.333332061767578,22.600000381469727,14300265,20.39551544189453,0.0,0.0
GGBR4.SA,22.409523010253906,22.409523010253906,21.885713577270508,22.038095474243164,12640845,19.8884220123291,0.0,0.0
GGBR4.SA,22.333332061767578,23.428571701049805,22.190475463867188,23.352380752563477,11546850,21.074506759643555,0.0,0.0
GGBR4.SA,23.333332061767578,23.466665267944336,22.933332443237305,23.161903381347656,10672620,20.90260887145996,0.0,0.0
