,symbol,date,open,high,low,close,volume,adjclose,dividends,weekday,splits
0,SOND6.SA,2022-06-19,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
1,SOND6.SA,2022-06-20,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
2,SOND6.SA,2022-06-21,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
3,SOND6.SA,2022-06-22,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
4,SOND6.SA,2022-06-23,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
5,SOND6.SA,2022-06-26,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
6,SOND6.SA,2022-06-27,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
7,SOND6.SA,2022-06-28,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
8,SOND6.SA,2022-06-29,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
9,SOND6.SA,2022-06-30,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
10,SOND6.SA,2022-07-03,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
11,SOND6.SA,2022-07-04,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
12,SOND6.SA,2022-07-05,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
13,SOND6.SA,2022-07-06,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
14,SOND6.SA,2022-07-07,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
15,SOND6.SA,2022-07-10,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
16,SOND6.SA,2022-07-11,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
17,SOND6.SA,2022-07-12,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
18,SOND6.SA,2022-07-13,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
19,SOND6.SA,2022-07-14,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
20,SOND6.SA,2022-07-17,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
21,SOND6.SA,2022-07-18,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
22,SOND6.SA,2022-07-19,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
23,SOND6.SA,2022-07-20,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
24,SOND6.SA,2022-07-21,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
25,SOND6.SA,2022-07-24,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
26,SOND6.SA,2022-07-25,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
27,SOND6.SA,2022-07-26,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
28,SOND6.SA,2022-07-27,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
29,SOND6.SA,2022-07-28,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
30,SOND6.SA,2022-07-31,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
31,SOND6.SA,2022-08-01,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
32,SOND6.SA,2022-08-02,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
33,SOND6.SA,2022-08-03,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
34,SOND6.SA,2022-08-04,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
35,SOND6.SA,2022-08-07,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
36,SOND6.SA,2022-08-08,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
37,SOND6.SA,2022-08-09,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
38,SOND6.SA,2022-08-10,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
39,SOND6.SA,2022-08-11,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
40,SOND6.SA,2022-08-14,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
41,SOND6.SA,2022-08-15,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
42,SOND6.SA,2022-08-16,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
43,SOND6.SA,2022-08-17,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
44,SOND6.SA,2022-08-18,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
45,SOND6.SA,2022-08-21,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
46,SOND6.SA,2022-08-22,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
47,SOND6.SA,2022-08-23,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
48,SOND6.SA,2022-08-24,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
49,SOND6.SA,2022-08-25,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
50,SOND6.SA,2022-08-28,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
51,SOND6.SA,2022-08-29,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
52,SOND6.SA,2022-08-30,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,1,0
53,SOND6.SA,2022-08-31,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
54,SOND6.SA,2022-09-01,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
55,SOND6.SA,2022-09-04,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
56,SOND6.SA,2022-09-05,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,0,0
57,SOND6.SA,2022-09-07,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,2,0
58,SOND6.SA,2022-09-08,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,3,0
59,SOND6.SA,2022-09-11,43.0,43.0,43.0,43.0,0.0,34.89884567260742,0.0,6,0
60,SOND6.SA,2022-09-12,35.20000076293945,35.20000076293945,35.20000076293945,35.20000076293945,1000.0,28.568357467651367,0.0,0,0
61,SOND6.SA,2022-09-13,35.20000076293945,35.20000076293945,35.20000076293945,35.20000076293945,0.0,28.568357467651367,0.0,1,0
62,SOND6.SA,2022-09-14,35.20000076293945,35.20000076293945,35.20000076293945,35.20000076293945,0.0,28.568357467651367,0.0,2,0
63,SOND6.SA,2022-09-15,35.20000076293945,35.20000076293945,34.0,34.0,700.0,27.59443473815918,0.0,3,0
64,SOND6.SA,2022-09-18,32.0,33.0,32.0,32.220001220703125,1100.0,26.1497859954834,0.0,6,0
65,SOND6.SA,2022-09-19,32.220001220703125,32.220001220703125,32.220001220703125,32.220001220703125,0.0,26.1497859954834,0.0,0,0
66,SOND6.SA,2022-09-20,32.79999923706055,32.79999923706055,32.79999923706055,32.79999923706055,1600.0,26.620513916015625,0.0,1,0
67,SOND6.SA,2022-09-21,32.79999923706055,32.79999923706055,32.79999923706055,32.79999923706055,0.0,26.620513916015625,0.0,2,0
68,SOND6.SA,2022-09-22,32.5,32.5,32.0,32.0,500.0,25.971233367919922,0.0,3,0
69,SOND6.SA,2022-09-25,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,6,0
70,SOND6.SA,2022-09-26,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,0,0
71,SOND6.SA,2022-09-27,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,1,0
72,SOND6.SA,2022-09-28,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,2,0
73,SOND6.SA,2022-09-29,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,3,0
74,SOND6.SA,2022-10-02,32.0,32.0,32.0,32.0,500.0,25.971233367919922,0.0,6,0
75,SOND6.SA,2022-10-03,33.0,33.0,33.0,33.0,500.0,26.782835006713867,0.0,0,0
76,SOND6.SA,2022-10-04,32.0,32.0,32.0,32.0,1600.0,25.971233367919922,0.0,1,0
77,SOND6.SA,2022-10-05,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,2,0
78,SOND6.SA,2022-10-06,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,3,0
79,SOND6.SA,2022-10-09,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,6,0
80,SOND6.SA,2022-10-10,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,0,0
81,SOND6.SA,2022-10-12,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,2,0
82,SOND6.SA,2022-10-13,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,3,0
83,SOND6.SA,2022-10-16,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,6,0
84,SOND6.SA,2022-10-17,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,0,0
85,SOND6.SA,2022-10-18,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,1,0
86,SOND6.SA,2022-10-19,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,2,0
87,SOND6.SA,2022-10-20,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,3,0
88,SOND6.SA,2022-10-23,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,6,0
89,SOND6.SA,2022-10-24,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,0,0
90,SOND6.SA,2022-10-25,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,1,0
91,SOND6.SA,2022-10-26,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,2,0
92,SOND6.SA,2022-10-27,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,3,0
93,SOND6.SA,2022-10-30,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,6,0
94,SOND6.SA,2022-10-31,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,0,0
95,SOND6.SA,2022-11-02,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,2,0
96,SOND6.SA,2022-11-03,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,3,0
97,SOND6.SA,2022-11-06,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,6,0
98,SOND6.SA,2022-11-07,32.0,32.0,32.0,32.0,0.0,25.971233367919922,0.0,0,0
