symbol,open,high,low,close,volume,adjclose
TEND3.SA,4.170000076293945,4.210000038146973,4.070000171661377,4.139999866485596,1804300,4.139999866485596
TEND3.SA,4.139999866485596,4.230000019073486,4.050000190734863,4.179999828338623,1026700,4.179999828338623
TEND3.SA,4.190000057220459,4.329999923706055,4.110000133514404,4.199999809265137,1230600,4.199999809265137
TEND3.SA,4.150000095367432,4.260000228881836,4.099999904632568,4.099999904632568,2251300,4.099999904632568
TEND3.SA,4.130000114440918,4.170000076293945,4.059999942779541,4.070000171661377,1866200,4.070000171661377
TEND3.SA,4.119999885559082,4.269999980926514,4.050000190734863,4.050000190734863,1548500,4.050000190734863
TEND3.SA,4.099999904632568,4.110000133514404,3.990000009536743,4.039999961853027,1310000,4.039999961853027
TEND3.SA,4.070000171661377,4.139999866485596,3.930000066757202,3.9800000190734863,2577300,3.9800000190734863
TEND3.SA,3.9800000190734863,4.03000020980835,3.799999952316284,3.8499999046325684,2082500,3.8499999046325684
TEND3.SA,3.799999952316284,4.0,3.680000066757202,3.9000000953674316,2666200,3.9000000953674316
TEND3.SA,3.9100000858306885,4.059999942779541,3.8399999141693115,4.010000228881836,1427500,4.010000228881836
TEND3.SA,4.0,4.199999809265137,3.9600000381469727,4.070000171661377,1630000,4.070000171661377
TEND3.SA,4.050000190734863,4.230000019073486,3.9700000286102295,4.21999979019165,1730300,4.21999979019165
TEND3.SA,4.199999809265137,4.449999809265137,4.179999828338623,4.449999809265137,2344500,4.449999809265137
TEND3.SA,4.519999980926514,4.96999979019165,4.46999979019165,4.96999979019165,2461900,4.96999979019165
TEND3.SA,4.949999809265137,5.880000114440918,4.920000076293945,5.78000020980835,8436000,5.78000020980835
TEND3.SA,5.769999980926514,6.090000152587891,5.570000171661377,6.03000020980835,5922500,6.03000020980835
TEND3.SA,6.0,6.050000190734863,5.639999866485596,5.639999866485596,3357700,5.639999866485596
TEND3.SA,5.53000020980835,5.820000171661377,5.210000038146973,5.329999923706055,5090400,5.329999923706055
TEND3.SA,5.159999847412109,5.300000190734863,4.510000228881836,4.559999942779541,5118700,4.559999942779541
TEND3.SA,4.550000190734863,4.619999885559082,4.099999904632568,4.199999809265137,7338600,4.199999809265137
TEND3.SA,4.289999961853027,4.449999809265137,4.139999866485596,4.21999979019165,3340600,4.21999979019165
TEND3.SA,4.300000190734863,4.639999866485596,4.070000171661377,4.619999885559082,4677700,4.619999885559082
TEND3.SA,4.599999904632568,4.679999828338623,4.409999847412109,4.619999885559082,4236700,4.619999885559082
TEND3.SA,4.639999866485596,4.75,4.590000152587891,4.679999828338623,2316000,4.679999828338623
TEND3.SA,4.670000076293945,4.78000020980835,4.349999904632568,4.440000057220459,2181200,4.440000057220459
TEND3.SA,4.489999771118164,4.519999980926514,4.139999866485596,4.179999828338623,2399400,4.179999828338623
TEND3.SA,4.199999809265137,4.199999809265137,3.9700000286102295,3.990000009536743,2116600,3.990000009536743
TEND3.SA,3.990000009536743,4.070000171661377,3.869999885559082,4.010000228881836,2161500,4.010000228881836
TEND3.SA,3.990000009536743,4.159999847412109,3.880000114440918,4.039999961853027,2465300,4.039999961853027
TEND3.SA,4.070000171661377,4.099999904632568,3.890000104904175,3.9100000858306885,1954200,3.9100000858306885
TEND3.SA,3.9000000953674316,4.0,3.799999952316284,3.869999885559082,1930600,3.869999885559082
TEND3.SA,3.8499999046325684,3.9100000858306885,3.7899999618530273,3.7899999618530273,2107500,3.7899999618530273
TEND3.SA,3.809999942779541,4.059999942779541,3.7899999618530273,4.0,2812900,4.0
TEND3.SA,4.039999961853027,4.71999979019165,4.039999961853027,4.5,5848100,4.5
TEND3.SA,4.309999942779541,6.050000190734863,4.159999847412109,5.920000076293945,14326400,5.920000076293945
TEND3.SA,5.860000133514404,6.190000057220459,5.150000095367432,5.199999809265137,9265200,5.199999809265137
TEND3.SA,5.230000019073486,5.539999961853027,4.909999847412109,5.239999771118164,6729400,5.239999771118164
TEND3.SA,5.360000133514404,5.710000038146973,5.28000020980835,5.449999809265137,4819800,5.449999809265137
TEND3.SA,5.480000019073486,5.670000076293945,5.070000171661377,5.230000019073486,2964400,5.230000019073486
TEND3.SA,5.239999771118164,5.349999904632568,5.159999847412109,5.21999979019165,1465300,5.21999979019165
TEND3.SA,5.119999885559082,6.46999979019165,5.119999885559082,6.440000057220459,5986700,6.440000057220459
TEND3.SA,6.309999942779541,6.400000095367432,5.860000133514404,5.920000076293945,3608000,5.920000076293945
TEND3.SA,5.909999847412109,5.909999847412109,5.610000133514404,5.800000190734863,4002700,5.800000190734863
TEND3.SA,5.809999942779541,6.420000076293945,5.710000038146973,6.159999847412109,6177300,6.159999847412109
TEND3.SA,6.130000114440918,6.139999866485596,5.619999885559082,5.75,3505400,5.75
TEND3.SA,5.659999847412109,5.880000114440918,5.400000095367432,5.75,4020800,5.75
TEND3.SA,5.800000190734863,6.170000076293945,5.679999828338623,6.03000020980835,3112700,6.03000020980835
TEND3.SA,6.0,6.539999961853027,5.929999828338623,6.360000133514404,3318100,6.360000133514404
TEND3.SA,6.46999979019165,6.610000133514404,6.050000190734863,6.099999904632568,2608400,6.099999904632568
TEND3.SA,6.119999885559082,6.199999809265137,5.840000152587891,5.929999828338623,1960700,5.929999828338623
TEND3.SA,5.900000095367432,6.320000171661377,5.789999961853027,6.170000076293945,2520900,6.170000076293945
TEND3.SA,6.199999809265137,6.389999866485596,5.829999923706055,6.090000152587891,2970500,6.090000152587891
TEND3.SA,6.099999904632568,6.159999847412109,5.730000019073486,5.840000152587891,2767800,5.840000152587891
