,symbol,date,open,high,low,close,volume,adjclose,weekday,dividends,splits
0,DTCY3.SA,2022-06-20,6.0,6.0,5.099999904632568,5.949999809265137,3500.0,5.949999809265137,0,0,0
1,DTCY3.SA,2022-06-21,5.380000114440918,5.53000020980835,5.010000228881836,5.349999904632568,1700.0,5.349999904632568,1,0,0
2,DTCY3.SA,2022-06-22,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,0.0,5.349999904632568,2,0,0
3,DTCY3.SA,2022-06-23,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,0.0,5.349999904632568,3,0,0
4,DTCY3.SA,2022-06-24,5.349999904632568,5.849999904632568,5.349999904632568,5.849999904632568,1000.0,5.849999904632568,4,0,0
5,DTCY3.SA,2022-06-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,0,0,0
6,DTCY3.SA,2022-06-28,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,1,0,0
7,DTCY3.SA,2022-06-29,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,2,0,0
8,DTCY3.SA,2022-06-30,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,3,0,0
9,DTCY3.SA,2022-07-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,4,0,0
10,DTCY3.SA,2022-07-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,0,0,0
11,DTCY3.SA,2022-07-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,1,0,0
12,DTCY3.SA,2022-07-06,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,2,0,0
13,DTCY3.SA,2022-07-07,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,3,0,0
14,DTCY3.SA,2022-07-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0.0,5.849999904632568,4,0,0
