date,symbol,open,high,low,close,volume,adjclose,dividends,weekday
2022-09-01,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-09-02,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-09-05,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-09-06,PATI4.SA,52.900001525878906,52.900001525878906,52.900001525878906,52.900001525878906,100,50.307193756103516,0.0,1
2022-09-08,PATI4.SA,52.900001525878906,52.900001525878906,52.900001525878906,52.900001525878906,0,50.307193756103516,0.0,3
2022-09-09,PATI4.SA,52.900001525878906,52.900001525878906,52.900001525878906,52.900001525878906,0,50.307193756103516,0.0,4
2022-09-12,PATI4.SA,52.88999938964844,53.0099983215332,52.88999938964844,53.0099983215332,200,50.411800384521484,0.0,0
2022-09-13,PATI4.SA,53.0,53.0,53.0,53.0,100,50.40229034423828,0.0,1
2022-09-14,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-09-15,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-09-16,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-09-19,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-09-20,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-09-21,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-09-22,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-09-23,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-09-26,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-09-27,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-09-28,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-09-29,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-09-30,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-10-03,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-10-04,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-10-05,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-10-06,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-10-07,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-10-10,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-10-11,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-10-13,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-10-14,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-10-17,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-10-18,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-10-19,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-10-20,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-10-21,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-10-24,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-10-25,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-10-26,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-10-27,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-10-28,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,100,49.441795349121094,0.0,4
2022-10-31,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-11-01,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-11-03,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-11-04,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-11-07,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-11-08,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-11-09,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-11-10,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-11-11,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-11-14,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-11-16,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-11-17,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-11-18,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-11-21,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
