symbol,date,open,high,low,close,volume,adjclose,dividends,splits,weekday,yearday
TOTS3.SA,2018-08-26,8.926372528076172,9.232458114624023,8.926372528076172,9.172572135925293,594226.0,8.818284034729004,0.0,0.0,1.0,0.6528925619834711
TOTS3.SA,2018-08-27,9.235784530639648,9.269055366516113,8.986259460449219,9.175898551940918,767355.0,8.82148265838623,0.0,0.0,0.0,0.6556473829201102
TOTS3.SA,2018-08-28,9.09272289276123,9.152609825134277,8.982932090759277,8.982932090759277,1250671.0,8.635969161987305,0.0,0.0,0.16666666666666666,0.6584022038567493
TOTS3.SA,2018-08-29,8.99623966217041,8.99623966217041,8.760022163391113,8.816580772399902,1159599.0,8.476042747497559,0.0,0.0,0.3333333333333333,0.6611570247933884
TOTS3.SA,2018-08-30,8.80327320098877,8.896430015563965,8.770003318786621,8.8631591796875,1128640.0,8.520821571350098,0.0,0.0,0.5,0.6639118457300276
TOTS3.SA,2018-08-31,8.80327320098877,8.896430015563965,8.770003318786621,8.8631591796875,1128640.0,8.520821571350098,0.0,0.0,0.5,0.6639118457300276
TOTS3.SA,2018-09-02,8.823234558105469,8.84985065460205,8.666866302490234,8.666866302490234,430115.0,8.332111358642578,0.0,0.0,1.0,0.6721763085399449
TOTS3.SA,2018-09-03,8.680173873901367,8.783310890197754,8.660211563110352,8.680173873901367,1561461.0,8.344904899597168,0.0,0.0,0.0,0.6749311294765841
TOTS3.SA,2018-09-04,8.680173873901367,8.78996467590332,8.633596420288086,8.750041007995605,813642.0,8.412073135375977,0.0,0.0,0.16666666666666666,0.6776859504132231
TOTS3.SA,2018-09-05,8.773329734802246,8.796619415283203,8.380743026733398,8.513822555541992,3009607.0,8.184979438781738,0.0,0.0,0.3333333333333333,0.6804407713498623
TOTS3.SA,2018-09-06,8.773329734802246,8.796619415283203,8.380743026733398,8.513822555541992,3009607.0,8.184979438781738,0.0,0.0,0.3333333333333333,0.6804407713498623
TOTS3.SA,2018-09-07,8.773329734802246,8.796619415283203,8.380743026733398,8.513822555541992,3009607.0,8.184979438781738,0.0,0.0,0.3333333333333333,0.6804407713498623
TOTS3.SA,2018-09-09,8.587017059326172,8.676847457885742,8.37076187133789,8.626941680908203,2120821.0,8.29372787475586,0.0,0.0,1.0,0.6914600550964187
TOTS3.SA,2018-09-10,8.600325584411621,8.600325584411621,8.317529678344727,8.317529678344727,926957.0,7.996267795562744,0.0,0.0,0.0,0.6942148760330579
