,symbol,date,open,high,low,close,volume,adjclose,dividends,splits,weekday
0,ITSA3.SA,2022-06-19,8.436363220214844,8.581817626953125,8.236363410949707,8.381817817687988,151470,7.949036121368408,0.0,0.0,6
1,ITSA3.SA,2022-06-20,8.390909194946289,8.52727222442627,8.363636016845703,8.372727394104004,57750,7.9404144287109375,0.0,0.0,0
2,ITSA3.SA,2022-06-21,8.363636016845703,8.399999618530273,8.300000190734863,8.363636016845703,87780,7.931792736053467,0.0,0.0,1
3,ITSA3.SA,2022-06-22,8.409090042114258,8.409090042114258,8.181818008422852,8.327272415161133,109230,7.897305965423584,0.0,0.0,2
4,ITSA3.SA,2022-06-23,8.327272415161133,8.327272415161133,8.190909385681152,8.190909385681152,99770,7.767983913421631,0.0,0.0,3
5,ITSA3.SA,2022-06-26,8.281818389892578,8.300000190734863,8.154544830322266,8.236363410949707,159610,7.811089515686035,0.0,0.0,6
6,ITSA3.SA,2022-06-27,8.245453834533691,8.327272415161133,8.090909004211426,8.209090232849121,94930,7.785226345062256,0.0,0.0,0
7,ITSA3.SA,2022-06-28,8.209090232849121,8.218180656433105,8.090909004211426,8.118181228637695,65120,7.699010372161865,0.0,0.0,1
8,ITSA3.SA,2022-06-29,8.118181228637695,8.118181228637695,7.954545021057129,8.054545402526855,193160,7.638660907745361,0.0,0.0,2
9,ITSA3.SA,2022-06-30,8.054545402526855,8.054545402526855,7.827271938323975,7.945454120635986,286550,7.5352020263671875,0.0,0.0,3
10,ITSA3.SA,2022-07-03,7.954545021057129,8.163636207580566,7.881817817687988,7.990909099578857,205700,7.578310489654541,0.0,0.0,6
11,ITSA3.SA,2022-07-04,7.945454120635986,7.945454120635986,7.845454216003418,7.936363220214844,129140,7.526580810546875,0.0,0.0,0
12,ITSA3.SA,2022-07-05,7.945454120635986,7.990909099578857,7.863636016845703,7.9181809425354,104720,7.509336471557617,0.0,0.0,1
13,ITSA3.SA,2022-07-06,7.9636359214782715,8.100000381469727,7.927271842956543,8.036362648010254,116380,7.6214165687561035,0.0,0.0,2
14,ITSA3.SA,2022-07-07,8.045454025268555,8.12727165222168,8.02727222442627,8.07272720336914,83380,7.655904293060303,0.0,0.0,3
15,ITSA3.SA,2022-07-10,8.054545402526855,8.054545402526855,7.8545451164245605,7.954545021057129,166430,7.543823719024658,0.0,0.0,6
16,ITSA3.SA,2022-07-11,7.954545021057129,7.9636359214782715,7.845454216003418,7.863636016845703,111100,7.457608222961426,0.0,0.0,0
17,ITSA3.SA,2022-07-12,7.9181809425354,7.927271842956543,7.772727012634277,7.772727012634277,259820,7.371394157409668,0.0,0.0,1
18,ITSA3.SA,2022-07-13,7.818181037902832,7.845454216003418,7.681818008422852,7.818181037902832,206140,7.414501190185547,0.0,0.0,2
19,ITSA3.SA,2022-07-14,7.8545451164245605,8.045454025268555,7.754545211791992,7.990909099578857,162580,7.578310489654541,0.0,0.0,3
20,ITSA3.SA,2022-07-17,8.009090423583984,8.199999809265137,7.954545021057129,8.0,177320,7.586931228637695,0.0,0.0,6
21,ITSA3.SA,2022-07-18,8.045454025268555,8.245453834533691,8.045454025268555,8.145454406738281,99110,7.724875450134277,0.0,0.0,0
22,ITSA3.SA,2022-07-19,8.118181228637695,8.209090232849121,8.118181228637695,8.12727165222168,67760,7.707632064819336,0.0,0.0,1
23,ITSA3.SA,2022-07-20,8.118181228637695,8.199999809265137,8.02727222442627,8.199999809265137,94160,7.776605129241943,0.0,0.0,2
