date,symbol,open,high,low,close,volume,adjclose,splits,weekday
2022-06-17,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-06-20,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-06-21,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-06-22,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-06-23,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-06-24,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-06-27,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-06-28,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-06-29,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-06-30,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-07-01,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-07-04,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-07-05,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-07-06,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-07-07,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-07-08,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-07-11,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-07-12,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-07-13,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-07-14,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-07-15,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-07-18,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-07-19,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-07-20,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-07-21,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-07-22,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-07-25,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-07-26,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-07-27,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-07-28,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-07-29,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-08-01,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-08-02,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-08-03,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-08-04,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-08-05,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-08-08,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-08-09,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-08-10,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-08-11,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-08-12,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-08-15,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-08-16,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-08-17,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-08-18,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-08-19,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-08-22,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-08-23,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-08-24,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-08-25,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-08-26,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-08-29,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-08-30,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-08-31,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-09-01,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-09-02,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-09-05,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-09-06,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-09-08,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-09-09,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-09-12,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-09-13,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-09-14,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-09-15,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-09-16,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-09-19,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-09-20,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-09-21,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-09-22,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-09-23,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-09-26,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-09-27,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-09-28,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-09-29,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-09-30,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-10-03,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-10-04,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-10-05,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-10-06,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-10-07,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-10-10,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-10-11,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-10-13,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-10-14,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-10-17,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-10-18,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-10-19,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-10-20,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-10-21,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-10-24,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-10-25,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-10-26,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-10-27,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-10-28,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-10-31,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-11-01,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-11-03,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-11-04,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-11-07,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-11-08,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-11-09,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-11-10,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-11-11,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-11-14,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-11-16,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-11-17,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-11-18,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-11-21,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-11-22,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-11-23,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-11-24,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-11-25,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-11-28,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-11-29,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-11-30,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-12-01,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-12-02,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-12-05,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-12-06,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-12-07,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-12-08,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-12-09,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-12-12,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-12-13,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-12-14,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-12-15,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-12-16,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-12-19,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-12-20,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-12-21,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-12-22,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2022-12-23,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2022-12-26,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2022-12-27,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2022-12-28,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2022-12-29,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-01-02,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2023-01-03,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2023-01-04,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2023-01-05,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-01-06,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2023-01-09,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2023-01-10,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2023-01-11,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2023-01-12,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-01-13,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2023-01-16,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2023-01-17,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2023-01-18,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2023-01-19,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-01-20,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2023-01-23,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2023-01-24,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2023-01-25,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2023-01-26,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-01-27,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2023-01-30,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2023-01-31,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2023-02-01,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2023-02-02,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-02-03,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2023-02-06,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2023-02-07,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2023-02-08,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2023-02-09,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-02-10,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2023-02-13,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,0
2023-02-14,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,1
2023-02-15,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
2023-02-16,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,3
2023-02-17,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,4
2023-02-22,ESTR3.SA,4.0,4.0,4.0,4.0,0,4.0,0.0,2
