date,symbol,open,high,low,close,volume,adjclose
2022-06-17,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-20,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-21,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-22,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-23,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-24,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-27,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-28,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-29,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-06-30,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-01,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-04,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-05,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-06,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-07,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-08,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-11,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-12,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-13,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-14,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-15,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-18,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-19,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-20,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-21,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-22,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-25,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-26,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-27,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-28,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-07-29,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-01,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-02,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-03,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-04,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-05,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-08,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-09,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-10,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-11,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-12,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-15,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-16,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-17,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-18,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-19,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-22,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-23,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-24,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-25,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-26,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-29,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-30,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-08-31,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-01,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-02,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-05,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-06,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-08,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-09,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-12,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-13,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-14,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-15,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-16,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-19,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-20,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-21,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-22,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-23,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-26,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-27,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-28,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-29,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-09-30,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-10-03,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
2022-10-04,AHEB5.SA,22.0,22.0,22.0,22.0,0.0,22.0
