,symbol,date,open,high,low,close,volume,adjclose,dividends,weekday,splits
0,CGRA3.SA,2022-06-19,27.229999542236328,28.0,27.229999542236328,27.989999771118164,1100.0,25.875194549560547,0.0,6,0
1,CGRA3.SA,2022-06-20,28.389999389648438,28.399999618530273,28.389999389648438,28.389999389648438,600.0,26.244970321655273,0.0,0,0
2,CGRA3.SA,2022-06-21,28.389999389648438,28.389999389648438,28.389999389648438,28.389999389648438,0.0,26.244970321655273,0.0,1,0
3,CGRA3.SA,2022-06-22,27.989999771118164,28.280000686645508,27.989999771118164,28.25,400.0,26.115550994873047,0.0,2,0
4,CGRA3.SA,2022-06-23,28.25,28.68000030517578,28.25,28.489999771118164,2300.0,26.337417602539062,0.0,3,0
5,CGRA3.SA,2022-06-26,28.600000381469727,29.010000228881836,28.600000381469727,28.989999771118164,5200.0,26.799636840820312,0.0,6,0
6,CGRA3.SA,2022-06-27,28.989999771118164,29.200000762939453,28.799999237060547,29.190000534057617,7400.0,26.984527587890625,0.0,0,0
7,CGRA3.SA,2022-06-28,29.149999618530273,29.299999237060547,29.0,29.299999237060547,15900.0,27.08621597290039,0.0,1,0
8,CGRA3.SA,2022-06-29,29.299999237060547,30.010000228881836,28.899999618530273,30.0,17700.0,27.733325958251953,0.0,2,0
9,CGRA3.SA,2022-06-30,29.040000915527344,29.489999771118164,27.809999465942383,28.0,20300.0,26.900728225708008,1.133378,3,0
10,CGRA3.SA,2022-07-03,28.0,28.239999771118164,27.709999084472656,28.200000762939453,5200.0,27.092876434326172,0.0,6,0
11,CGRA3.SA,2022-07-04,28.0,28.239999771118164,28.0,28.239999771118164,1500.0,27.131305694580078,0.0,0,0
12,CGRA3.SA,2022-07-05,28.110000610351562,28.65999984741211,28.110000610351562,28.489999771118164,1800.0,27.371492385864258,0.0,1,0
13,CGRA3.SA,2022-07-06,28.65999984741211,28.670000076293945,28.59000015258789,28.65999984741211,3600.0,27.53481674194336,0.0,2,0
14,CGRA3.SA,2022-07-07,28.989999771118164,28.989999771118164,28.799999237060547,28.799999237060547,3900.0,27.66931915283203,0.0,3,0
15,CGRA3.SA,2022-07-10,28.790000915527344,28.799999237060547,28.780000686645508,28.780000686645508,300.0,27.65010643005371,0.0,6,0
16,CGRA3.SA,2022-07-11,28.5,28.700000762939453,28.5,28.700000762939453,2700.0,27.5732479095459,0.0,0,0
17,CGRA3.SA,2022-07-12,28.700000762939453,28.700000762939453,28.389999389648438,28.690000534057617,5800.0,27.56363868713379,0.0,1,0
18,CGRA3.SA,2022-07-13,28.389999389648438,28.389999389648438,27.760000228881836,27.899999618530273,2000.0,26.80465316772461,0.0,2,0
19,CGRA3.SA,2022-07-14,27.969999313354492,28.0,27.649999618530273,27.65999984741211,1500.0,26.57407569885254,0.0,3,0
20,CGRA3.SA,2022-07-17,28.290000915527344,28.299999237060547,27.510000228881836,28.200000762939453,4400.0,27.092876434326172,0.0,6,0
21,CGRA3.SA,2022-07-18,28.200000762939453,28.200000762939453,28.010000228881836,28.010000228881836,1700.0,26.910337448120117,0.0,0,0
22,CGRA3.SA,2022-07-19,28.010000228881836,28.010000228881836,28.0,28.0,600.0,26.900728225708008,0.0,1,0
23,CGRA3.SA,2022-07-20,27.780000686645508,28.190000534057617,27.780000686645508,28.190000534057617,200.0,27.083271026611328,0.0,2,0
24,CGRA3.SA,2022-07-21,28.399999618530273,28.450000762939453,28.399999618530273,28.450000762939453,1000.0,27.33306121826172,0.0,3,0
25,CGRA3.SA,2022-07-24,28.110000610351562,28.450000762939453,27.799999237060547,27.799999237060547,1800.0,26.708580017089844,0.0,6,0
26,CGRA3.SA,2022-07-25,27.899999618530273,28.489999771118164,27.700000762939453,28.239999771118164,20500.0,27.131305694580078,0.0,0,0
27,CGRA3.SA,2022-07-26,28.09000015258789,28.110000610351562,27.610000610351562,27.850000381469727,6300.0,26.756616592407227,0.0,1,0
28,CGRA3.SA,2022-07-27,27.860000610351562,28.200000762939453,27.780000686645508,28.0,6500.0,26.900728225708008,0.0,2,0
29,CGRA3.SA,2022-07-28,28.0,28.399999618530273,28.0,28.399999618530273,6500.0,27.285024642944336,0.0,3,0
30,CGRA3.SA,2022-07-31,27.920000076293945,28.100000381469727,27.799999237060547,27.809999465942383,3300.0,26.71818733215332,0.0,6,0
31,CGRA3.SA,2022-08-01,27.81999969482422,28.0,27.75,27.75,21900.0,26.66054344177246,0.0,0,0
32,CGRA3.SA,2022-08-02,27.899999618530273,28.6299991607666,27.899999618530273,28.200000762939453,2000.0,27.092876434326172,0.0,1,0
33,CGRA3.SA,2022-08-03,28.209999084472656,29.049999237060547,28.209999084472656,28.989999771118164,800.0,27.85186004638672,0.0,2,0
34,CGRA3.SA,2022-08-04,28.510000228881836,29.0,28.510000228881836,29.0,700.0,27.861469268798828,0.0,3,0
35,CGRA3.SA,2022-08-07,28.989999771118164,29.0,28.700000762939453,29.0,1600.0,27.861469268798828,0.0,6,0
36,CGRA3.SA,2022-08-08,29.0,29.649999618530273,29.0,29.639999389648438,2100.0,28.476341247558594,0.0,0,0
37,CGRA3.SA,2022-08-09,29.950000762939453,31.0,29.950000762939453,31.0,2600.0,29.782949447631836,0.0,1,0
38,CGRA3.SA,2022-08-10,31.290000915527344,31.290000915527344,30.600000381469727,30.600000381469727,900.0,29.398653030395508,0.0,2,0
