,symbol,date,open,high,low,close,volume,adjclose,weekday,dividends,splits
0,VSPT3.SA,2022-06-17,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
1,VSPT3.SA,2022-06-21,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
2,VSPT3.SA,2022-06-22,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
3,VSPT3.SA,2022-06-23,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
4,VSPT3.SA,2022-06-24,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
5,VSPT3.SA,2022-06-27,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
6,VSPT3.SA,2022-06-28,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
7,VSPT3.SA,2022-06-29,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
8,VSPT3.SA,2022-06-30,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
9,VSPT3.SA,2022-07-01,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
10,VSPT3.SA,2022-07-05,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
11,VSPT3.SA,2022-07-06,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
12,VSPT3.SA,2022-07-07,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
13,VSPT3.SA,2022-07-08,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
14,VSPT3.SA,2022-07-11,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
15,VSPT3.SA,2022-07-12,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
16,VSPT3.SA,2022-07-13,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
17,VSPT3.SA,2022-07-14,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
18,VSPT3.SA,2022-07-15,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
19,VSPT3.SA,2022-07-18,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
20,VSPT3.SA,2022-07-19,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
21,VSPT3.SA,2022-07-20,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
22,VSPT3.SA,2022-07-21,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
23,VSPT3.SA,2022-07-22,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
24,VSPT3.SA,2022-07-25,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
25,VSPT3.SA,2022-07-26,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
26,VSPT3.SA,2022-07-27,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
27,VSPT3.SA,2022-07-28,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
28,VSPT3.SA,2022-07-29,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
29,VSPT3.SA,2022-08-01,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
30,VSPT3.SA,2022-08-02,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
31,VSPT3.SA,2022-08-03,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
32,VSPT3.SA,2022-08-04,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
33,VSPT3.SA,2022-08-05,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
34,VSPT3.SA,2022-08-08,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
35,VSPT3.SA,2022-08-09,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
36,VSPT3.SA,2022-08-10,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
37,VSPT3.SA,2022-08-11,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
38,VSPT3.SA,2022-08-12,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
39,VSPT3.SA,2022-08-15,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
40,VSPT3.SA,2022-08-16,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
41,VSPT3.SA,2022-08-17,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
42,VSPT3.SA,2022-08-18,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
43,VSPT3.SA,2022-08-19,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
44,VSPT3.SA,2022-08-22,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
45,VSPT3.SA,2022-08-23,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
46,VSPT3.SA,2022-08-24,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
47,VSPT3.SA,2022-08-25,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
48,VSPT3.SA,2022-08-26,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
49,VSPT3.SA,2022-08-29,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
50,VSPT3.SA,2022-08-30,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
51,VSPT3.SA,2022-08-31,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
52,VSPT3.SA,2022-09-01,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
53,VSPT3.SA,2022-09-02,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
54,VSPT3.SA,2022-09-06,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
55,VSPT3.SA,2022-09-08,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
56,VSPT3.SA,2022-09-09,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
57,VSPT3.SA,2022-09-12,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
58,VSPT3.SA,2022-09-13,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
