symbol,open,high,low,close,volume,adjclose,dividends
DEXP4.SA,7.760000228881836,7.760000228881836,7.449999809265137,7.75,5400,7.663724899291992,0.0
DEXP4.SA,7.75,7.75,7.099999904632568,7.099999904632568,3300,7.020960807800293,0.0
DEXP4.SA,7.0,7.480000019073486,7.0,7.409999847412109,2700,7.32750940322876,0.0
DEXP4.SA,7.409999847412109,7.409999847412109,7.409999847412109,7.409999847412109,0,7.32750940322876,0.0
DEXP4.SA,7.199999809265137,7.289999961853027,7.199999809265137,7.289999961853027,900,7.208845615386963,0.0
DEXP4.SA,7.289999961853027,7.289999961853027,7.289999961853027,7.289999961853027,0,7.208845615386963,0.0
DEXP4.SA,7.480000019073486,7.579999923706055,7.480000019073486,7.579999923706055,400,7.495616912841797,0.0
DEXP4.SA,7.199999809265137,7.489999771118164,7.150000095367432,7.150000095367432,900,7.070404052734375,0.0
DEXP4.SA,7.070000171661377,7.070000171661377,7.070000171661377,7.070000171661377,200,6.991294860839844,0.0
DEXP4.SA,7.630000114440918,7.639999866485596,6.739999771118164,6.739999771118164,7100,6.664968013763428,0.0
DEXP4.SA,7.039999961853027,7.239999771118164,7.039999961853027,7.239999771118164,300,7.159401893615723,0.0
DEXP4.SA,7.239999771118164,7.239999771118164,7.239999771118164,7.239999771118164,0,7.159401893615723,0.0
DEXP4.SA,7.239999771118164,7.260000228881836,6.900000095367432,7.190000057220459,1400,7.109958648681641,0.0
DEXP4.SA,7.190000057220459,7.190000057220459,6.75,7.190000057220459,8900,7.109958648681641,0.0
DEXP4.SA,7.230000019073486,7.230000019073486,7.230000019073486,7.230000019073486,100,7.1495137214660645,0.0
DEXP4.SA,7.230000019073486,7.230000019073486,7.230000019073486,7.230000019073486,0,7.1495137214660645,0.0
DEXP4.SA,6.800000190734863,6.889999866485596,6.730000019073486,6.800000190734863,5900,6.724300384521484,0.0
DEXP4.SA,6.730000019073486,6.769999980926514,6.619999885559082,6.769999980926514,1100,6.694634437561035,0.0
DEXP4.SA,6.75,6.75,6.619999885559082,6.699999809265137,600,6.625413417816162,0.0
DEXP4.SA,6.980000019073486,6.980000019073486,6.619999885559082,6.670000076293945,2300,6.595747470855713,0.0
DEXP4.SA,6.699999809265137,6.699999809265137,6.699999809265137,6.699999809265137,500,6.625413417816162,0.0
DEXP4.SA,7.039999961853027,7.050000190734863,7.039999961853027,7.050000190734863,900,6.971517562866211,0.0
DEXP4.SA,7.050000190734863,7.050000190734863,7.050000190734863,7.050000190734863,0,6.971517562866211,0.0
DEXP4.SA,7.190000057220459,7.190000057220459,7.190000057220459,7.190000057220459,400,7.109958648681641,0.0
DEXP4.SA,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,100,7.119847297668457,0.0
DEXP4.SA,7.0,7.210000038146973,7.0,7.210000038146973,1200,7.129735946655273,0.0
DEXP4.SA,7.150000095367432,7.400000095367432,7.0,7.150000095367432,1100,7.070404052734375,0.0
DEXP4.SA,7.0,7.0,6.599999904632568,6.599999904632568,13700,6.526526927947998,0.0
DEXP4.SA,6.789999961853027,7.099999904632568,6.789999961853027,6.800000190734863,3900,6.724300384521484,0.0
DEXP4.SA,7.050000190734863,7.400000095367432,7.050000190734863,7.400000095367432,4500,7.317621231079102,0.0
DEXP4.SA,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,0,7.317621231079102,0.0
DEXP4.SA,7.309999942779541,7.309999942779541,7.309999942779541,7.309999942779541,100,7.228622913360596,0.0
DEXP4.SA,7.389999866485596,7.400000095367432,7.139999866485596,7.300000190734863,6900,7.218734264373779,0.0
DEXP4.SA,7.300000190734863,7.300000190734863,7.059999942779541,7.059999942779541,5600,6.981405735015869,0.0
DEXP4.SA,7.099999904632568,7.369999885559082,7.059999942779541,7.199999809265137,9400,7.119847297668457,0.0
DEXP4.SA,7.190000057220459,7.369999885559082,7.070000171661377,7.150000095367432,5000,7.070404052734375,0.0
DEXP4.SA,7.300000190734863,7.539999961853027,7.289999961853027,7.539999961853027,3700,7.456062316894531,0.0
DEXP4.SA,7.130000114440918,7.519999980926514,7.130000114440918,7.519999980926514,700,7.436285018920898,0.0
DEXP4.SA,7.429999828338623,7.989999771118164,7.429999828338623,7.989999771118164,1400,7.901052474975586,0.0
DEXP4.SA,7.630000114440918,7.630000114440918,6.75,6.75,54100,6.674857139587402,0.0
DEXP4.SA,6.869999885559082,6.869999885559082,6.639999866485596,6.690000057220459,7300,6.615524768829346,0.0
DEXP4.SA,6.800000190734863,6.900000095367432,6.71999979019165,6.900000095367432,3300,6.823187351226807,0.0
DEXP4.SA,6.75,6.800000190734863,6.730000019073486,6.800000190734863,2300,6.724300384521484,0.0
DEXP4.SA,6.760000228881836,6.929999828338623,6.75,6.75,28800,6.674857139587402,0.0
DEXP4.SA,6.71999979019165,6.730000019073486,6.710000038146973,6.710000038146973,1900,6.635302543640137,0.0
DEXP4.SA,6.800000190734863,6.800000190734863,6.429999828338623,6.769999980926514,1000,6.694634437561035,0.0
DEXP4.SA,6.659999847412109,6.659999847412109,6.550000190734863,6.559999942779541,3400,6.486971855163574,0.0
DEXP4.SA,6.769999980926514,6.769999980926514,6.570000171661377,6.699999809265137,1600,6.625413417816162,0.0
DEXP4.SA,6.599999904632568,6.610000133514404,6.550000190734863,6.559999942779541,50300,6.486971855163574,0.0
DEXP4.SA,6.599999904632568,6.599999904632568,6.559999942779541,6.559999942779541,4400,6.486971855163574,0.0
DEXP4.SA,6.599999904632568,6.599999904632568,6.550000190734863,6.590000152587891,4300,6.516638278961182,0.0
