date,symbol,open,high,low,close,volume,adjclose,dividends,weekday
2022-06-17,PORT3.SA,8.289999961853027,8.460000038146973,8.069999694824219,8.350000381469727,537100,7.965319633483887,0.0,4
2022-06-20,PORT3.SA,8.600000381469727,8.600000381469727,7.909999847412109,7.960000038146973,717000,7.593286991119385,0.0,0
2022-06-21,PORT3.SA,8.279999732971191,8.279999732971191,7.900000095367432,7.940000057220459,269500,7.5742082595825195,0.0,1
2022-06-22,PORT3.SA,7.889999866485596,8.010000228881836,7.820000171661377,7.849999904632568,387500,7.488354682922363,0.0,2
2022-06-23,PORT3.SA,7.929999828338623,8.0600004196167,7.809999942779541,7.929999828338623,159500,7.564668655395508,0.0,3
2022-06-24,PORT3.SA,8.0600004196167,8.0600004196167,7.769999980926514,7.989999771118164,368900,7.621904373168945,0.0,4
2022-06-27,PORT3.SA,7.940000057220459,8.010000228881836,7.869999885559082,7.900000095367432,332300,7.536050796508789,0.0,0
2022-06-28,PORT3.SA,8.010000228881836,8.010000228881836,7.730000019073486,7.849999904632568,345400,7.488354682922363,0.0,1
2022-06-29,PORT3.SA,7.949999809265137,7.949999809265137,7.789999961853027,7.900000095367432,173600,7.536050796508789,0.0,2
2022-06-30,PORT3.SA,7.900000095367432,7.900000095367432,7.670000076293945,7.800000190734863,1375500,7.440658092498779,0.0,3
2022-07-01,PORT3.SA,7.860000133514404,8.1899995803833,7.619999885559082,8.1899995803833,499200,7.812690734863281,0.0,4
2022-07-04,PORT3.SA,8.149999618530273,8.149999618530273,7.650000095367432,7.650000095367432,464500,7.297568321228027,0.0,0
2022-07-05,PORT3.SA,7.710000038146973,7.710000038146973,7.369999885559082,7.579999923706055,548000,7.230792999267578,0.0,1
2022-07-06,PORT3.SA,7.550000190734863,7.739999771118164,7.5,7.630000114440918,465400,7.27849006652832,0.0,2
2022-07-07,PORT3.SA,7.829999923706055,7.829999923706055,7.550000190734863,7.579999923706055,234900,7.230792999267578,0.0,3
2022-07-08,PORT3.SA,7.630000114440918,7.71999979019165,7.519999980926514,7.599999904632568,171100,7.249871730804443,0.0,4
2022-07-11,PORT3.SA,7.570000171661377,7.570000171661377,7.300000190734863,7.409999847412109,193400,7.068624973297119,0.0,0
2022-07-12,PORT3.SA,7.489999771118164,7.489999771118164,7.320000171661377,7.380000114440918,179700,7.040007591247559,0.0,1
2022-07-13,PORT3.SA,7.329999923706055,7.440000057220459,7.289999961853027,7.349999904632568,543100,7.011388778686523,0.0,2
2022-07-14,PORT3.SA,7.329999923706055,7.380000114440918,7.21999979019165,7.309999942779541,128800,6.973231792449951,0.0,3
2022-07-15,PORT3.SA,7.429999828338623,7.429999828338623,7.199999809265137,7.369999885559082,305600,7.030467987060547,0.0,4
2022-07-18,PORT3.SA,7.400000095367432,7.639999866485596,7.369999885559082,7.480000019073486,370000,7.135400295257568,0.0,0
2022-07-19,PORT3.SA,7.46999979019165,7.710000038146973,7.440000057220459,7.670000076293945,287500,7.316647052764893,0.0,1
2022-07-20,PORT3.SA,7.730000019073486,7.809999942779541,7.610000133514404,7.670000076293945,124000,7.316647052764893,0.0,2
2022-07-21,PORT3.SA,7.670000076293945,8.050000190734863,7.650000095367432,8.050000190734863,356200,7.679140567779541,0.0,3
2022-07-22,PORT3.SA,8.050000190734863,8.109999656677246,7.78000020980835,7.989999771118164,242800,7.621904373168945,0.0,4
2022-07-25,PORT3.SA,8.039999961853027,8.130000114440918,7.849999904632568,8.010000228881836,312000,7.640983581542969,0.0,0
2022-07-26,PORT3.SA,8.140000343322754,8.15999984741211,7.96999979019165,7.989999771118164,137000,7.621904373168945,0.0,1
2022-07-27,PORT3.SA,8.010000228881836,8.170000076293945,7.940000057220459,8.170000076293945,232500,7.793612003326416,0.0,2
2022-07-28,PORT3.SA,8.15999984741211,8.380000114440918,8.050000190734863,8.380000114440918,464100,7.993937969207764,0.0,3
2022-07-29,PORT3.SA,8.380000114440918,8.460000038146973,8.210000038146973,8.3100004196167,185700,7.9271626472473145,0.0,4
2022-08-01,PORT3.SA,8.3100004196167,8.4399995803833,8.15999984741211,8.399999618530273,433100,8.013015747070312,0.0,0
2022-08-02,PORT3.SA,8.399999618530273,8.4399995803833,8.300000190734863,8.399999618530273,170500,8.013015747070312,0.0,1
2022-08-03,PORT3.SA,8.520000457763672,8.609999656677246,8.399999618530273,8.550000190734863,503200,8.156105995178223,0.0,2
2022-08-04,PORT3.SA,8.710000038146973,8.850000381469727,8.640000343322754,8.75,202900,8.346891403198242,0.0,3
2022-08-05,PORT3.SA,8.850000381469727,8.880000114440918,8.670000076293945,8.869999885559082,122600,8.461363792419434,0.0,4
2022-08-08,PORT3.SA,8.989999771118164,9.119999885559082,8.850000381469727,8.920000076293945,520300,8.50905990600586,0.0,0
2022-08-09,PORT3.SA,8.989999771118164,9.0600004196167,8.760000228881836,8.850000381469727,153700,8.442285537719727,0.0,1
2022-08-10,PORT3.SA,8.930000305175781,9.25,8.930000305175781,9.029999732971191,409700,8.613991737365723,0.0,2
2022-08-11,PORT3.SA,9.300000190734863,9.300000190734863,8.649999618530273,8.670000076293945,221300,8.270577430725098,0.0,3
2022-08-12,PORT3.SA,8.84000015258789,8.970000267028809,8.630000114440918,8.770000457763672,490700,8.365970611572266,0.0,4
2022-08-15,PORT3.SA,8.800000190734863,9.0,8.739999771118164,8.960000038146973,347200,8.54721736907959,0.0,0
2022-08-16,PORT3.SA,9.029999732971191,9.050000190734863,8.800000190734863,8.960000038146973,851500,8.54721736907959,0.0,1
2022-08-17,PORT3.SA,8.880000114440918,9.149999618530273,8.800000190734863,9.100000381469727,3005100,8.680768013000488,0.0,2
2022-08-18,PORT3.SA,9.119999885559082,9.25,8.989999771118164,9.079999923706055,591400,8.661689758300781,0.0,3
2022-08-19,PORT3.SA,9.390000343322754,9.390000343322754,8.979999542236328,9.140000343322754,580100,8.718925476074219,0.0,4
2022-08-22,PORT3.SA,9.109999656677246,9.34000015258789,9.039999961853027,9.180000305175781,1687300,8.757081985473633,0.0,0
2022-08-23,PORT3.SA,9.15999984741211,9.15999984741211,8.970000267028809,9.069999694824219,1513900,8.65215015411377,0.0,1
2022-08-24,PORT3.SA,8.949999809265137,9.149999618530273,8.9399995803833,8.949999809265137,847700,8.537677764892578,0.0,2
2022-08-25,PORT3.SA,8.949999809265137,9.149999618530273,8.920000076293945,9.149999618530273,885300,8.728464126586914,0.0,3
2022-08-26,PORT3.SA,9.270000457763672,9.270000457763672,8.90999984741211,9.079999923706055,456000,8.661689758300781,0.0,4
2022-08-29,PORT3.SA,9.149999618530273,9.3100004196167,8.9399995803833,9.109999656677246,389700,8.690306663513184,0.0,0
2022-08-30,PORT3.SA,9.140000343322754,9.260000228881836,9.0,9.100000381469727,403100,8.680768013000488,0.0,1
2022-08-31,PORT3.SA,9.25,9.25,8.819999694824219,8.850000381469727,796300,8.442285537719727,0.0,2
2022-09-01,PORT3.SA,8.880000114440918,9.079999923706055,8.859999656677246,9.020000457763672,328200,8.604453086853027,0.0,3
2022-09-02,PORT3.SA,9.109999656677246,9.149999618530273,8.960000038146973,9.039999961853027,378000,8.623531341552734,0.0,4
2022-09-05,PORT3.SA,9.09000015258789,9.229999542236328,8.989999771118164,9.15999984741211,809200,8.738003730773926,0.0,0
2022-09-06,PORT3.SA,9.25,9.25,8.9399995803833,9.010000228881836,478800,8.594913482666016,0.0,1
2022-09-08,PORT3.SA,9.279999732971191,9.279999732971191,8.960000038146973,9.079999923706055,525600,8.661689758300781,0.0,3
2022-09-09,PORT3.SA,9.130000114440918,9.369999885559082,9.069999694824219,9.329999923706055,544800,8.900172233581543,0.0,4
2022-09-12,PORT3.SA,9.390000343322754,9.5,9.329999923706055,9.470000267028809,667000,9.033721923828125,0.0,0
2022-09-13,PORT3.SA,9.369999885559082,9.430000305175781,9.1899995803833,9.260000228881836,929800,8.833395957946777,0.0,1
2022-09-14,PORT3.SA,9.279999732971191,9.300000190734863,9.109999656677246,9.199999809265137,1175400,8.77616024017334,0.0,2
2022-09-15,PORT3.SA,9.210000038146973,9.270000457763672,9.109999656677246,9.199999809265137,937900,8.77616024017334,0.0,3
2022-09-16,PORT3.SA,9.15999984741211,9.229999542236328,8.890000343322754,8.890000343322754,6995800,8.480443000793457,0.0,4
2022-09-19,PORT3.SA,8.850000381469727,9.109999656677246,8.640000343322754,9.079999923706055,1117700,8.661689758300781,0.0,0
2022-09-20,PORT3.SA,9.079999923706055,9.289999961853027,9.029999732971191,9.1899995803833,405800,8.766620635986328,0.0,1
2022-09-21,PORT3.SA,9.1899995803833,9.460000038146973,9.170000076293945,9.4399995803833,513100,9.00510311126709,0.0,2
2022-09-22,PORT3.SA,10.0,10.199999809265137,9.40999984741211,9.619999885559082,580200,9.176811218261719,0.0,3
2022-09-23,PORT3.SA,9.579999923706055,9.630000114440918,9.470000267028809,9.470000267028809,395500,9.033721923828125,0.0,4
2022-09-26,PORT3.SA,9.460000038146973,9.489999771118164,9.34000015258789,9.399999618530273,147200,8.966946601867676,0.0,0
2022-09-27,PORT3.SA,9.3100004196167,9.430000305175781,9.289999961853027,9.34000015258789,398200,8.909711837768555,0.0,1
2022-09-28,PORT3.SA,9.289999961853027,9.420000076293945,9.229999542236328,9.300000190734863,304000,8.871554374694824,0.0,2
2022-09-29,PORT3.SA,9.25,9.25,9.119999885559082,9.229999542236328,310400,8.804778099060059,0.0,3
2022-09-30,PORT3.SA,9.229999542236328,9.5,9.100000381469727,9.449999809265137,497500,9.014642715454102,0.0,4
