,symbol,date,open,high,low,close,volume,adjclose,dividends,weekday,splits
48,PETR4.SA,2022-08-25,34.099998474121094,34.36000061035156,32.66999816894531,33.279998779296875,99511600,24.323036193847656,0.0,3,0
49,PETR4.SA,2022-08-26,33.279998779296875,33.66999816894531,32.56999969482422,33.63999938964844,63545400,24.58614730834961,0.0,4,0
50,PETR4.SA,2022-08-29,33.54999923706055,35.08000183105469,33.45000076293945,34.47999954223633,73339500,25.2000675201416,0.0,0,0
51,PETR4.SA,2022-08-30,34.0,34.220001220703125,32.27000045776367,32.43000030517578,99361100,23.701805114746094,0.0,1,0
52,PETR4.SA,2022-08-31,32.06999969482422,33.439998626708984,31.81999969482422,33.22999954223633,114235400,24.2864933013916,0.0,2,0
53,PETR4.SA,2022-09-01,33.36000061035156,33.95000076293945,32.7599983215332,33.849998474121094,69184700,24.739625930786133,0.0,3,0
54,PETR4.SA,2022-09-02,34.439998626708984,34.56999969482422,33.2599983215332,33.41999816894531,81792300,24.425355911254883,0.0,4,0
55,PETR4.SA,2022-09-05,33.849998474121094,34.11000061035156,33.150001525878906,33.34000015258789,76337600,24.36688995361328,0.0,0,0
56,PETR4.SA,2022-09-06,32.27000045776367,32.59000015258789,31.510000228881836,32.099998474121094,111813500,23.460620880126953,0.0,1,0
57,PETR4.SA,2022-09-08,32.310001373291016,32.779998779296875,31.399999618530273,31.799999237060547,63159800,23.241363525390625,0.0,3,0
58,PETR4.SA,2022-09-09,32.4900016784668,32.66999816894531,31.700000762939453,31.790000915527344,49871900,23.234054565429688,0.0,4,0
59,PETR4.SA,2022-09-12,32.150001525878906,32.72999954223633,31.459999084472656,31.479999542236328,71374500,23.007488250732422,0.0,0,0
60,PETR4.SA,2022-09-13,30.940000534057617,31.440000534057617,30.520000457763672,30.649999618530273,88327800,22.4008731842041,0.0,1,0
61,PETR4.SA,2022-09-14,30.75,31.43000030517578,30.6299991607666,31.1200008392334,49039700,22.7443790435791,0.0,2,0
62,PETR4.SA,2022-09-15,30.920000076293945,31.229999542236328,30.799999237060547,31.059999465942383,45553200,22.70052719116211,0.0,3,0
63,PETR4.SA,2022-09-16,30.860000610351562,30.950000762939453,30.34000015258789,30.780000686645508,107303600,22.495885848999023,0.0,4,0
64,PETR4.SA,2022-09-19,30.5,31.3799991607666,29.8799991607666,31.270000457763672,65559900,22.854005813598633,0.0,0,0
65,PETR4.SA,2022-09-20,31.420000076293945,31.600000381469727,30.84000015258789,31.09000015258789,67798200,22.72245216369629,0.0,1,0
66,PETR4.SA,2022-09-21,31.350000381469727,31.469999313354492,30.889999389648438,31.170000076293945,58812200,22.780921936035156,0.0,2,0
67,PETR4.SA,2022-09-22,31.479999542236328,32.08000183105469,31.030000686645508,31.940000534057617,69764300,23.343685150146484,0.0,3,0
68,PETR4.SA,2022-09-23,31.31999969482422,31.389999389648438,29.770000457763672,29.940000534057617,138630800,21.8819637298584,0.0,4,0
69,PETR4.SA,2022-09-26,29.719999313354492,30.079999923706055,29.270000457763672,29.290000915527344,42934600,21.406904220581055,0.0,0,0
70,PETR4.SA,2022-09-27,29.65999984741211,29.8799991607666,29.579999923706055,29.670000076293945,71087600,21.684629440307617,0.0,1,0
71,PETR4.SA,2022-09-28,29.670000076293945,29.81999969482422,28.579999923706055,29.270000457763672,104670700,21.39228630065918,0.0,2,0
72,PETR4.SA,2022-09-29,28.989999771118164,29.399999618530273,28.600000381469727,29.309999465942383,87536500,21.421520233154297,0.0,3,0
73,PETR4.SA,2022-09-30,29.219999313354492,30.489999771118164,29.0,29.799999237060547,121637100,21.77964210510254,0.0,4,0
74,PETR4.SA,2022-10-03,31.90999984741211,32.63999938964844,31.65999984741211,32.18000030517578,179694100,23.519092559814453,0.0,0,0
75,PETR4.SA,2022-10-04,32.900001525878906,32.97999954223633,31.06999969482422,31.3700008392334,115917200,22.927093505859375,0.0,1,0
76,PETR4.SA,2022-10-05,31.40999984741211,32.81999969482422,31.200000762939453,32.54999923706055,92893700,23.789506912231445,0.0,2,0
77,PETR4.SA,2022-10-06,33.0,33.790000915527344,32.439998626708984,33.65999984741211,82671900,24.60076332092285,0.0,3,0
78,PETR4.SA,2022-10-07,33.58000183105469,34.31999969482422,33.220001220703125,33.630001068115234,73500100,24.578840255737305,0.0,4,0
79,PETR4.SA,2022-10-10,33.650001525878906,33.88999938964844,33.0,33.25,52222600,24.301111221313477,0.0,0,0
80,PETR4.SA,2022-10-11,32.88999938964844,33.33000183105469,32.61000061035156,33.0,58332400,24.118396759033203,0.0,1,0
81,PETR4.SA,2022-10-13,32.5,34.4900016784668,32.40999984741211,33.939998626708984,91143900,24.805404663085938,0.0,3,0
82,PETR4.SA,2022-10-14,33.970001220703125,34.13999938964844,33.29999923706055,33.41999816894531,62246100,24.425355911254883,0.0,4,0
83,PETR4.SA,2022-10-17,33.2400016784668,34.150001525878906,32.84000015258789,33.38999938964844,100936400,24.403430938720703,0.0,0,0
84,PETR4.SA,2022-10-18,33.900001525878906,34.22999954223633,33.15999984741211,34.209999084472656,82313200,25.002737045288086,0.0,1,0
85,PETR4.SA,2022-10-19,34.130001068115234,35.560001373291016,34.02000045776367,35.41999816894531,113700900,25.887075424194336,0.0,2,0
