date,symbol,open,high,low,close,volume,adjclose,splits,weekday
2022-06-17,RCSL3.SA,3.1309609413146973,3.2142319679260254,3.064344882965088,3.164268970489502,717362,3.164268970489502,0.0,4
2022-06-20,RCSL3.SA,3.197577953338623,3.24753999710083,2.9977290630340576,3.0976529121398926,862012,3.0976529121398926,0.0,0
2022-06-21,RCSL3.SA,3.164268970489502,3.197577953338623,3.0476911067962646,3.0976529121398926,512127,3.0976529121398926,0.0,1
2022-06-22,RCSL3.SA,3.0809988975524902,3.114306926727295,2.9810750484466553,3.0976529121398926,411131,3.0976529121398926,0.0,2
2022-06-23,RCSL3.SA,3.114306926727295,3.1476149559020996,3.0310370922088623,3.1309609413146973,552057,3.1309609413146973,0.0,3
2022-06-24,RCSL3.SA,3.1809229850769043,3.1809229850769043,2.9977290630340576,3.0310370922088623,521494,3.0310370922088623,0.0,4
2022-06-27,RCSL3.SA,2.8311879634857178,2.9394400119781494,2.7645719051361084,2.9061319828033447,792239,2.9061319828033447,0.5,0
2022-06-28,RCSL3.SA,2.9894020557403564,2.9977290630340576,2.8978049755096436,2.9560940265655518,720425,2.9560940265655518,0.0,1
2022-06-29,RCSL3.SA,2.9810750484466553,3.01438307762146,2.464798927307129,2.4897799491882324,2067845,2.4897799491882324,0.0,2
2022-06-30,RCSL3.SA,2.4065101146698,2.464798927307129,2.26495099067688,2.4481449127197266,1009604,2.4481449127197266,0.0,3
2022-07-01,RCSL3.SA,2.4564719200134277,2.523087978363037,2.314913034439087,2.4814529418945312,622070,2.4814529418945312,0.0,4
2022-07-04,RCSL3.SA,2.4897799491882324,2.5397419929504395,2.431490898132324,2.4481449127197266,552057,2.4481449127197266,0.0,0
2022-07-05,RCSL3.SA,2.4481449127197266,2.4481449127197266,2.2566239833831787,2.3981831073760986,817218,2.3981831073760986,0.0,1
2022-07-06,RCSL3.SA,2.414836883544922,2.4897799491882324,2.323240041732788,2.4814529418945312,656056,2.4814529418945312,0.0,2
2022-07-07,RCSL3.SA,2.4814529418945312,2.7562448978424072,2.47312593460083,2.689629077911377,349344,2.689629077911377,0.0,3
2022-07-08,RCSL3.SA,2.731264114379883,2.7645719051361084,2.6146860122680664,2.747917890548706,197669,2.747917890548706,0.0,4
2022-07-11,RCSL3.SA,2.747917890548706,2.8062069416046143,2.6563210487365723,2.7146100997924805,744443,2.7146100997924805,0.0,0
2022-07-12,RCSL3.SA,2.8062069416046143,3.064344882965088,2.7728989124298096,2.972748041152954,663502,2.972748041152954,0.0,1
2022-07-13,RCSL3.SA,2.9894020557403564,3.2808480262756348,2.9810750484466553,3.1809229850769043,918335,3.1809229850769043,0.0,2
2022-07-14,RCSL3.SA,3.205904960632324,3.2558670043945312,2.4981069564819336,2.514760971069336,3170519,2.514760971069336,0.0,3
2022-07-15,RCSL3.SA,2.5647239685058594,2.589704990386963,2.4398179054260254,2.5647239685058594,995913,2.5647239685058594,0.0,4
2022-07-18,RCSL3.SA,2.5813779830932617,2.589704990386963,2.431490898132324,2.4481449127197266,502700,2.4481449127197266,0.0,0
2022-07-19,RCSL3.SA,2.4897799491882324,2.4981069564819336,2.414836883544922,2.423163890838623,212320,2.423163890838623,0.0,1
2022-07-20,RCSL3.SA,2.3815290927886963,2.556396961212158,2.3815290927886963,2.548069953918457,402064,2.548069953918457,0.0,2
2022-07-21,RCSL3.SA,2.598031997680664,2.598031997680664,2.47312593460083,2.4981069564819336,157198,2.4981069564819336,0.0,3
2022-07-22,RCSL3.SA,2.5647239685058594,2.5813779830932617,2.4564719200134277,2.514760971069336,158399,2.514760971069336,0.0,4
2022-07-25,RCSL3.SA,2.5314149856567383,2.5813779830932617,2.3482210636138916,2.4065101146698,548575,2.4065101146698,0.0,0
2022-07-26,RCSL3.SA,2.4481449127197266,2.4481449127197266,2.323240041732788,2.4065101146698,222888,2.4065101146698,0.0,1
2022-07-27,RCSL3.SA,2.423163890838623,2.5064339637756348,2.3815290927886963,2.4897799491882324,409029,2.4897799491882324,0.0,2
2022-07-28,RCSL3.SA,2.5064339637756348,2.6146860122680664,2.4981069564819336,2.5730509757995605,444336,2.5730509757995605,0.0,3
2022-07-29,RCSL3.SA,2.556396961212158,2.689629077911377,2.556396961212158,2.5813779830932617,246906,2.5813779830932617,0.0,4
2022-08-01,RCSL3.SA,2.5813779830932617,2.647994041442871,2.431490898132324,2.4564719200134277,823102,2.4564719200134277,0.0,0
2022-08-02,RCSL3.SA,2.4897799491882324,2.5397419929504395,2.431490898132324,2.4814529418945312,953281,2.4814529418945312,0.0,1
2022-08-03,RCSL3.SA,2.5064339637756348,2.7562448978424072,2.3981831073760986,2.739590883255005,2034339,2.739590883255005,0.0,2
2022-08-04,RCSL3.SA,2.739590883255005,2.9061319828033447,2.739590883255005,2.881150960922241,427763,2.881150960922241,0.0,3
2022-08-05,RCSL3.SA,2.881150960922241,3.122633934020996,2.789552927017212,2.9311130046844482,709617,2.9311130046844482,0.0,4
2022-08-08,RCSL3.SA,2.9394400119781494,3.114306926727295,2.8228609561920166,2.87282395362854,1383687,2.87282395362854,0.0,0
2022-08-09,RCSL3.SA,2.8894779682159424,2.9394400119781494,2.731264114379883,2.789552927017212,362674,2.789552927017212,0.0,1
2022-08-10,RCSL3.SA,2.87282395362854,2.914458990097046,2.739590883255005,2.84784197807312,827306,2.84784197807312,0.0,2
2022-08-11,RCSL3.SA,2.8978049755096436,2.9477670192718506,2.7812259197235107,2.8644959926605225,388734,2.8644959926605225,0.0,3
2022-08-12,RCSL3.SA,2.87282395362854,2.9394400119781494,2.8145339488983154,2.8978049755096436,282333,2.8978049755096436,0.0,4
2022-08-15,RCSL3.SA,2.8894779682159424,3.0310370922088623,2.839514970779419,2.84784197807312,1159117,2.84784197807312,0.0,0
2022-08-16,RCSL3.SA,2.8644959926605225,2.9061319828033447,2.5397419929504395,2.5730509757995605,2042746,2.5730509757995605,0.0,1
2022-08-17,RCSL3.SA,2.5813779830932617,2.6146860122680664,2.5064339637756348,2.598031997680664,807731,2.598031997680664,0.0,2
2022-08-18,RCSL3.SA,2.589704990386963,2.589704990386963,2.5064339637756348,2.548069953918457,223849,2.548069953918457,0.0,3
