symbol,open,high,low,close,volume,adjclose
KRSA3.SA,2.8499999046325684,2.8499999046325684,2.740000009536743,2.7699999809265137,105000,2.7699999809265137
KRSA3.SA,2.759999990463257,2.8399999141693115,2.559999942779541,2.5999999046325684,487500,2.5999999046325684
KRSA3.SA,2.6500000953674316,2.6500000953674316,2.509999990463257,2.5999999046325684,209600,2.5999999046325684
KRSA3.SA,2.5399999618530273,2.8499999046325684,2.5399999618530273,2.8499999046325684,319600,2.8499999046325684
KRSA3.SA,2.930000066757202,2.990000009536743,2.740000009536743,2.8499999046325684,57800,2.8499999046325684
KRSA3.SA,2.8499999046325684,3.0399999618530273,2.75,3.0,166100,3.0
KRSA3.SA,3.0,3.240000009536743,2.9100000858306885,3.2200000286102295,147900,3.2200000286102295
KRSA3.SA,3.25,3.4800000190734863,3.200000047683716,3.3499999046325684,468100,3.3499999046325684
KRSA3.SA,3.450000047683716,3.5999999046325684,3.3499999046325684,3.380000114440918,251300,3.380000114440918
KRSA3.SA,3.4000000953674316,3.5999999046325684,3.4000000953674316,3.5999999046325684,1284100,3.5999999046325684
KRSA3.SA,3.569999933242798,3.6600000858306885,3.450000047683716,3.4700000286102295,48000,3.4700000286102295
KRSA3.SA,3.4000000953674316,3.4000000953674316,3.259999990463257,3.299999952316284,184500,3.299999952316284
KRSA3.SA,3.2799999713897705,3.2899999618530273,3.1500000953674316,3.180000066757202,35800,3.180000066757202
KRSA3.SA,3.200000047683716,3.2899999618530273,3.130000114440918,3.1600000858306885,186100,3.1600000858306885
KRSA3.SA,3.200000047683716,3.240000009536743,3.119999885559082,3.119999885559082,159700,3.119999885559082
KRSA3.SA,3.2300000190734863,3.259999990463257,3.0899999141693115,3.0899999141693115,54900,3.0899999141693115
KRSA3.SA,3.069999933242798,3.119999885559082,3.049999952316284,3.049999952316284,54200,3.049999952316284
KRSA3.SA,3.009999990463257,3.200000047683716,2.9100000858306885,3.0,100900,3.0
KRSA3.SA,3.009999990463257,3.0399999618530273,2.9000000953674316,3.0,47200,3.0
KRSA3.SA,2.930000066757202,3.240000009536743,2.9100000858306885,3.2300000190734863,66600,3.2300000190734863
KRSA3.SA,3.1500000953674316,3.430000066757202,3.109999895095825,3.2699999809265137,81900,3.2699999809265137
KRSA3.SA,3.359999895095825,3.359999895095825,3.1600000858306885,3.1600000858306885,20000,3.1600000858306885
KRSA3.SA,3.1600000858306885,3.2100000381469727,3.0199999809265137,3.0999999046325684,167300,3.0999999046325684
KRSA3.SA,3.0899999141693115,3.200000047683716,2.9700000286102295,3.059999942779541,255400,3.059999942779541
KRSA3.SA,3.0199999809265137,3.1600000858306885,3.0,3.059999942779541,181500,3.059999942779541
KRSA3.SA,3.1500000953674316,3.1500000953674316,3.059999942779541,3.109999895095825,11000,3.109999895095825
KRSA3.SA,3.25,3.25,2.950000047683716,2.950000047683716,69700,2.950000047683716
KRSA3.SA,2.9600000381469727,3.0399999618530273,2.9100000858306885,2.940000057220459,53900,2.940000057220459
KRSA3.SA,3.0,3.0799999237060547,2.5999999046325684,2.9000000953674316,214200,2.9000000953674316
KRSA3.SA,2.9000000953674316,3.059999942779541,2.8499999046325684,3.059999942779541,60400,3.059999942779541
KRSA3.SA,3.0899999141693115,3.0999999046325684,2.799999952316284,2.8499999046325684,553800,2.8499999046325684
KRSA3.SA,2.9100000858306885,2.950000047683716,2.799999952316284,2.9200000762939453,867700,2.9200000762939453
KRSA3.SA,2.990000009536743,3.0,2.880000114440918,2.880000114440918,6300,2.880000114440918
KRSA3.SA,2.9100000858306885,2.990000009536743,2.8499999046325684,2.990000009536743,55700,2.990000009536743
KRSA3.SA,2.990000009536743,3.180000066757202,2.950000047683716,3.130000114440918,216900,3.130000114440918
KRSA3.SA,3.049999952316284,3.2300000190734863,3.049999952316284,3.119999885559082,98500,3.119999885559082
KRSA3.SA,3.119999885559082,3.2799999713897705,3.0199999809265137,3.069999933242798,130400,3.069999933242798
KRSA3.SA,3.069999933242798,3.200000047683716,3.0299999713897705,3.1500000953674316,150700,3.1500000953674316
KRSA3.SA,3.2200000286102295,3.309999942779541,3.1600000858306885,3.259999990463257,267300,3.259999990463257
KRSA3.SA,3.259999990463257,3.259999990463257,3.069999933242798,3.069999933242798,112900,3.069999933242798
KRSA3.SA,3.109999895095825,3.1500000953674316,2.9100000858306885,2.9100000858306885,218200,2.9100000858306885
KRSA3.SA,2.950000047683716,3.009999990463257,2.8499999046325684,2.9000000953674316,151800,2.9000000953674316
KRSA3.SA,2.9800000190734863,3.049999952316284,2.869999885559082,2.9700000286102295,133100,2.9700000286102295
KRSA3.SA,3.0199999809265137,3.0199999809265137,2.7300000190734863,2.9000000953674316,151600,2.9000000953674316
KRSA3.SA,2.880000114440918,2.9700000286102295,2.809999942779541,2.9100000858306885,5600,2.9100000858306885
KRSA3.SA,2.890000104904175,2.9000000953674316,2.809999942779541,2.809999942779541,38000,2.809999942779541
KRSA3.SA,2.880000114440918,2.890000104904175,2.700000047683716,2.700000047683716,18200,2.700000047683716
KRSA3.SA,2.759999990463257,2.950000047683716,2.759999990463257,2.859999895095825,11900,2.859999895095825
KRSA3.SA,2.940000057220459,3.0399999618530273,2.9000000953674316,2.9000000953674316,149500,2.9000000953674316
KRSA3.SA,2.950000047683716,2.9800000190734863,2.880000114440918,2.950000047683716,16600,2.950000047683716
KRSA3.SA,2.880000114440918,2.9200000762939453,2.7899999618530273,2.7899999618530273,70900,2.7899999618530273
KRSA3.SA,2.799999952316284,2.799999952316284,2.7100000381469727,2.7200000286102295,19000,2.7200000286102295
