,symbol,date,open,high,low,close,volume,adjclose,dividends,weekday,splits
0,RDOR3.SA,2022-06-20,30.299999237060547,30.65999984741211,29.399999618530273,29.649999618530273,2635700,29.349851608276367,0.0,0,0
1,RDOR3.SA,2022-06-21,29.639999389648438,30.719999313354492,29.40999984741211,30.270000457763672,5138900,29.96357536315918,0.0,1,0
2,RDOR3.SA,2022-06-22,30.040000915527344,30.6200008392334,29.3700008392334,29.920000076293945,4077500,29.617116928100586,0.0,2,0
3,RDOR3.SA,2022-06-23,29.850000381469727,30.899999618530273,29.479999542236328,29.600000381469727,3020200,29.300357818603516,0.0,3,0
4,RDOR3.SA,2022-06-24,29.940000534057617,29.940000534057617,29.229999542236328,29.600000381469727,2252700,29.300357818603516,0.0,4,0
5,RDOR3.SA,2022-06-27,29.5,30.399999618530273,29.40999984741211,29.40999984741211,1921200,29.112279891967773,0.0,0,0
6,RDOR3.SA,2022-06-28,29.510000228881836,29.6299991607666,28.030000686645508,28.290000915527344,3795600,28.003620147705078,0.0,1,0
7,RDOR3.SA,2022-06-29,28.5,29.649999618530273,28.290000915527344,29.09000015258789,5130100,28.795520782470703,0.0,2,0
8,RDOR3.SA,2022-06-30,28.3799991607666,29.350000381469727,28.25,28.979999542236328,2993000,28.68663215637207,0.0,3,0
9,RDOR3.SA,2022-07-01,28.559999465942383,28.75,27.770000457763672,28.68000030517578,4012900,28.389673233032227,0.0,4,0
10,RDOR3.SA,2022-07-04,28.540000915527344,29.8799991607666,28.209999084472656,28.8700008392334,1832200,28.577749252319336,0.0,0,0
11,RDOR3.SA,2022-07-05,28.540000915527344,29.280000686645508,28.079999923706055,29.1200008392334,3094100,28.82521629333496,0.0,1,0
12,RDOR3.SA,2022-07-06,28.700000762939453,30.329999923706055,28.309999465942383,29.899999618530273,2740300,29.597320556640625,0.0,2,0
13,RDOR3.SA,2022-07-07,30.200000762939453,30.329999923706055,29.139999389648438,30.1299991607666,2814400,29.93625831604004,0.111132,3,0
14,RDOR3.SA,2022-07-08,30.299999237060547,30.6299991607666,29.459999084472656,29.81999969482422,3729000,29.628252029418945,0.0,4,0
15,RDOR3.SA,2022-07-11,29.290000915527344,30.1200008392334,28.610000610351562,29.149999618530273,2990000,28.96255874633789,0.0,0,0
16,RDOR3.SA,2022-07-12,29.15999984741211,30.049999237060547,28.790000915527344,29.469999313354492,3701400,29.280500411987305,0.0,1,0
17,RDOR3.SA,2022-07-13,29.149999618530273,29.15999984741211,28.149999618530273,28.200000762939453,4060700,28.0186710357666,0.0,2,0
18,RDOR3.SA,2022-07-14,28.0,28.0,27.079999923706055,27.520000457763672,4696300,27.343042373657227,0.0,3,0
19,RDOR3.SA,2022-07-15,27.420000076293945,27.600000381469727,26.709999084472656,26.709999084472656,3430700,26.53824806213379,0.0,4,0
20,RDOR3.SA,2022-07-18,26.860000610351562,27.40999984741211,25.75,26.0,4400500,25.832815170288086,0.0,0,0
21,RDOR3.SA,2022-07-19,26.209999084472656,27.299999237060547,26.020000457763672,27.010000228881836,3680700,26.836320877075195,0.0,1,0
22,RDOR3.SA,2022-07-20,26.760000228881836,28.6200008392334,26.719999313354492,28.31999969482422,4358600,28.137897491455078,0.0,2,0
23,RDOR3.SA,2022-07-21,28.15999984741211,30.799999237060547,27.489999771118164,30.530000686645508,12274600,30.33368682861328,0.0,3,0
24,RDOR3.SA,2022-07-22,30.299999237060547,31.229999542236328,30.059999465942383,30.25,9264300,30.05548858642578,0.0,4,0
25,RDOR3.SA,2022-07-25,31.5,31.799999237060547,30.649999618530273,30.8799991607666,6258500,30.681434631347656,0.0,0,0
26,RDOR3.SA,2022-07-26,31.049999237060547,31.149999618530273,29.739999771118164,30.059999465942383,3443100,29.866708755493164,0.0,1,0
27,RDOR3.SA,2022-07-27,30.110000610351562,31.1200008392334,30.110000610351562,30.959999084472656,6535800,30.760921478271484,0.0,2,0
28,RDOR3.SA,2022-07-28,30.969999313354492,31.700000762939453,30.420000076293945,31.389999389648438,2024800,31.188156127929688,0.0,3,0
