,symbol,date,open,high,low,close,volume,adjclose,splits,weekday,dividends
0,INEP3.SA,2022-06-20,3.049999952316284,3.200000047683716,2.950000047683716,3.0,266360,3.0,0.0,0,0
1,INEP3.SA,2022-06-21,3.0,3.1500000953674316,3.0,3.0,256280,3.0,0.0,1,0
2,INEP3.SA,2022-06-22,2.950000047683716,3.1500000953674316,2.9000000953674316,3.0999999046325684,264380,3.0999999046325684,0.0,2,0
3,INEP3.SA,2022-06-23,3.1500000953674316,3.1500000953674316,3.049999952316284,3.0999999046325684,175540,3.0999999046325684,0.0,3,0
4,INEP3.SA,2022-06-24,3.049999952316284,3.1500000953674316,3.0,3.049999952316284,86080,3.049999952316284,0.0,4,0
5,INEP3.SA,2022-06-27,3.049999952316284,3.0999999046325684,3.0,3.049999952316284,138860,3.049999952316284,0.0,0,0
6,INEP3.SA,2022-06-28,3.049999952316284,3.0999999046325684,2.950000047683716,2.950000047683716,254580,2.950000047683716,0.0,1,0
7,INEP3.SA,2022-06-29,2.950000047683716,3.0,2.8499999046325684,2.9000000953674316,248100,2.9000000953674316,0.0,2,0
8,INEP3.SA,2022-06-30,2.9000000953674316,2.950000047683716,2.6500000953674316,2.700000047683716,342740,2.700000047683716,0.0,3,0
9,INEP3.SA,2022-07-01,2.700000047683716,2.75,2.549999952316284,2.5999999046325684,210060,2.5999999046325684,0.0,4,0
10,INEP3.SA,2022-07-04,2.5999999046325684,2.6500000953674316,2.549999952316284,2.5999999046325684,175420,2.5999999046325684,0.0,0,0
11,INEP3.SA,2022-07-05,2.6500000953674316,2.700000047683716,2.549999952316284,2.6500000953674316,426500,2.6500000953674316,0.0,1,0
12,INEP3.SA,2022-07-06,2.6500000953674316,2.6500000953674316,2.5,2.6500000953674316,296500,2.6500000953674316,0.0,2,0
13,INEP3.SA,2022-07-07,2.5999999046325684,2.700000047683716,2.549999952316284,2.700000047683716,360860,2.700000047683716,0.0,3,0
14,INEP3.SA,2022-07-08,2.6500000953674316,3.299999952316284,2.6500000953674316,3.25,1007100,3.25,0.0,4,0
15,INEP3.SA,2022-07-11,3.200000047683716,3.200000047683716,2.9000000953674316,2.950000047683716,294800,2.950000047683716,0.0,0,0
16,INEP3.SA,2022-07-12,3.0,3.5,2.8499999046325684,3.200000047683716,457440,3.200000047683716,0.0,1,0
17,INEP3.SA,2022-07-13,3.200000047683716,3.549999952316284,3.0999999046325684,3.299999952316284,543140,3.299999952316284,0.0,2,0
18,INEP3.SA,2022-07-14,3.299999952316284,3.3499999046325684,3.0999999046325684,3.0999999046325684,301140,3.0999999046325684,0.0,3,0
19,INEP3.SA,2022-07-15,3.1500000953674316,3.1500000953674316,2.9000000953674316,3.0,279460,3.0,0.0,4,0
20,INEP3.SA,2022-07-18,3.0,3.200000047683716,2.950000047683716,3.0,281520,3.0,0.0,0,0
21,INEP3.SA,2022-07-19,3.0999999046325684,3.0999999046325684,2.950000047683716,3.0,180120,3.0,0.0,1,0
22,INEP3.SA,2022-07-20,3.0,3.0999999046325684,2.950000047683716,3.0,152960,3.0,0.0,2,0
23,INEP3.SA,2022-07-21,3.0,4.599999904632568,2.950000047683716,4.099999904632568,1275100,4.099999904632568,0.0,3,0
24,INEP3.SA,2022-07-22,4.199999809265137,4.849999904632568,3.8499999046325684,3.9000000953674316,1156460,3.9000000953674316,0.0,4,0
25,INEP3.SA,2022-07-25,3.8499999046325684,4.099999904632568,3.75,3.799999952316284,317980,3.799999952316284,0.0,0,0
26,INEP3.SA,2022-07-26,4.150000095367432,4.550000190734863,3.9000000953674316,4.25,1405740,4.25,0.0,1,0
27,INEP3.SA,2022-07-27,4.300000190734863,4.400000095367432,3.950000047683716,4.0,639500,4.0,0.0,2,0
28,INEP3.SA,2022-07-28,4.0,4.099999904632568,3.700000047683716,3.950000047683716,852720,3.950000047683716,0.0,3,0
29,INEP3.SA,2022-07-29,3.9000000953674316,3.950000047683716,3.799999952316284,3.8499999046325684,197280,3.8499999046325684,0.0,4,0
30,INEP3.SA,2022-08-01,3.8499999046325684,3.8499999046325684,3.75,3.799999952316284,149020,3.799999952316284,0.0,0,0
31,INEP3.SA,2022-08-02,3.8499999046325684,4.300000190734863,3.75,4.099999904632568,661420,4.099999904632568,0.0,1,0
32,INEP3.SA,2022-08-03,4.099999904632568,4.150000095367432,3.950000047683716,3.950000047683716,454080,3.950000047683716,0.0,2,0
33,INEP3.SA,2022-08-04,4.050000190734863,4.349999904632568,4.0,4.099999904632568,662920,4.099999904632568,0.0,3,0
34,INEP3.SA,2022-08-05,4.099999904632568,4.5,4.050000190734863,4.25,538680,4.25,0.0,4,0
35,INEP3.SA,2022-08-08,4.25,4.400000095367432,4.150000095367432,4.25,443800,4.25,0.0,0,0
36,INEP3.SA,2022-08-09,4.199999809265137,4.300000190734863,4.0,4.050000190734863,290860,4.050000190734863,0.0,1,0
37,INEP3.SA,2022-08-10,4.050000190734863,4.150000095367432,3.9000000953674316,4.0,306280,4.0,0.0,2,0
38,INEP3.SA,2022-08-11,4.0,4.099999904632568,3.9000000953674316,4.0,190120,4.0,0.0,3,0
39,INEP3.SA,2022-08-12,3.950000047683716,4.25,3.950000047683716,4.199999809265137,367860,4.199999809265137,0.0,4,0
40,INEP3.SA,2022-08-15,4.099999904632568,4.150000095367432,3.950000047683716,4.0,502440,4.0,0.0,0,0
41,INEP3.SA,2022-08-16,3.950000047683716,4.199999809265137,3.9000000953674316,4.199999809265137,496180,4.199999809265137,0.0,1,0
42,INEP3.SA,2022-08-17,4.150000095367432,4.800000190734863,4.150000095367432,4.199999809265137,1574560,4.199999809265137,0.0,2,0
43,INEP3.SA,2022-08-18,4.300000190734863,4.699999809265137,4.099999904632568,4.5,955120,4.5,0.0,3,0
