date,symbol,open,high,low,close,volume,adjclose,dividends,weekday
2022-06-17,ELET6.SA,40.97999954223633,42.56999969482422,40.599998474121094,42.400001525878906,6806400,40.747318267822266,0.0,4
2022-06-20,ELET6.SA,42.470001220703125,44.560001373291016,42.380001068115234,43.13999938964844,6856700,41.458473205566406,0.0,0
2022-06-21,ELET6.SA,43.36000061035156,44.2400016784668,43.22999954223633,43.5,4858800,41.804439544677734,0.0,1
2022-06-22,ELET6.SA,43.099998474121094,44.779998779296875,42.900001525878906,44.400001525878906,8146800,42.66936111450195,0.0,2
2022-06-23,ELET6.SA,44.5,44.61000061035156,43.54999923706055,43.630001068115234,4403700,41.92937469482422,0.0,3
2022-06-24,ELET6.SA,44.060001373291016,44.41999816894531,43.790000915527344,44.29999923706055,3125500,42.57325744628906,0.0,4
2022-06-27,ELET6.SA,44.290000915527344,45.63999938964844,44.2400016784668,45.400001525878906,4121100,43.6303825378418,0.0,0
2022-06-28,ELET6.SA,45.45000076293945,46.31999969482422,45.41999816894531,45.70000076293945,4003900,43.9186897277832,0.0,1
2022-06-29,ELET6.SA,45.70000076293945,46.369998931884766,45.56999969482422,45.970001220703125,3063000,44.178165435791016,0.0,2
2022-06-30,ELET6.SA,45.4900016784668,47.029998779296875,45.33000183105469,46.70000076293945,3909700,44.87971115112305,0.0,3
2022-07-01,ELET6.SA,46.47999954223633,46.88999938964844,46.0,46.5,3459900,44.687503814697266,0.0,4
2022-07-04,ELET6.SA,46.099998474121094,46.439998626708984,45.650001525878906,46.0,1773600,44.206993103027344,0.0,0
2022-07-05,ELET6.SA,45.560001373291016,45.849998474121094,44.63999938964844,45.25,4174700,43.486228942871094,0.0,1
2022-07-06,ELET6.SA,45.130001068115234,45.349998474121094,44.08000183105469,44.650001525878906,3252900,42.90961456298828,0.0,2
2022-07-07,ELET6.SA,44.77000045776367,45.84000015258789,44.7400016784668,45.29999923706055,2661500,43.534278869628906,0.0,3
2022-07-08,ELET6.SA,45.31999969482422,45.84000015258789,44.47999954223633,44.81999969482422,1634500,43.0729866027832,0.0,4
2022-07-11,ELET6.SA,44.459999084472656,44.7599983215332,42.9900016784668,43.41999816894531,4125900,41.72755432128906,0.0,0
2022-07-12,ELET6.SA,43.4900016784668,44.58000183105469,42.599998474121094,44.189998626708984,3964700,42.46754455566406,0.0,1
2022-07-13,ELET6.SA,44.130001068115234,45.290000915527344,43.790000915527344,44.619998931884766,4366900,42.88078308105469,0.0,2
2022-07-14,ELET6.SA,44.16999816894531,45.2400016784668,43.83000183105469,45.04999923706055,3424500,43.29402160644531,0.0,3
2022-07-15,ELET6.SA,45.29999923706055,45.54999923706055,44.130001068115234,44.869998931884766,2939500,43.121036529541016,0.0,4
2022-07-18,ELET6.SA,45.79999923706055,45.970001220703125,44.470001220703125,44.939998626708984,2221200,43.18830871582031,0.0,0
2022-07-19,ELET6.SA,45.06999969482422,45.61000061035156,44.93000030517578,45.369998931884766,2220100,43.60154724121094,0.0,1
2022-07-20,ELET6.SA,45.5099983215332,46.209999084472656,44.84000015258789,45.369998931884766,3839600,43.60154724121094,0.0,2
2022-07-21,ELET6.SA,45.02000045776367,45.81999969482422,44.91999816894531,45.63999938964844,1665900,43.861026763916016,0.0,3
