,symbol,date,open,high,low,close,volume,adjclose,weekday,dividends,splits
0,SNSY3.SA,2022-06-20,8.470000267028809,8.470000267028809,8.470000267028809,8.470000267028809,0.0,8.470000267028809,0,0,0
1,SNSY3.SA,2022-06-21,8.470000267028809,8.470000267028809,8.470000267028809,8.470000267028809,0.0,8.470000267028809,1,0,0
2,SNSY3.SA,2022-06-22,8.470000267028809,8.470000267028809,8.470000267028809,8.470000267028809,0.0,8.470000267028809,2,0,0
3,SNSY3.SA,2022-06-23,7.980000019073486,7.980000019073486,7.980000019073486,7.980000019073486,200.0,7.980000019073486,3,0,0
4,SNSY3.SA,2022-06-24,7.980000019073486,7.980000019073486,7.980000019073486,7.980000019073486,0.0,7.980000019073486,4,0,0
5,SNSY3.SA,2022-06-27,7.980000019073486,7.980000019073486,7.980000019073486,7.980000019073486,0.0,7.980000019073486,0,0,0
6,SNSY3.SA,2022-06-28,7.980000019073486,7.980000019073486,7.980000019073486,7.980000019073486,0.0,7.980000019073486,1,0,0
7,SNSY3.SA,2022-06-29,7.980000019073486,7.980000019073486,7.980000019073486,7.980000019073486,0.0,7.980000019073486,2,0,0
8,SNSY3.SA,2022-06-30,7.980000019073486,7.980000019073486,7.980000019073486,7.980000019073486,0.0,7.980000019073486,3,0,0
9,SNSY3.SA,2022-07-01,6.989999771118164,6.989999771118164,6.980000019073486,6.980000019073486,300.0,6.980000019073486,4,0,0
10,SNSY3.SA,2022-07-04,6.900000095367432,6.900000095367432,5.900000095367432,6.03000020980835,800.0,6.03000020980835,0,0,0
11,SNSY3.SA,2022-07-05,6.050000190734863,7.0,6.050000190734863,7.0,900.0,7.0,1,0,0
12,SNSY3.SA,2022-07-06,7.0,7.0,7.0,7.0,0.0,7.0,2,0,0
13,SNSY3.SA,2022-07-07,7.0,7.0,6.900000095367432,6.900000095367432,200.0,6.900000095367432,3,0,0
14,SNSY3.SA,2022-07-08,6.900000095367432,6.900000095367432,6.889999866485596,6.889999866485596,200.0,6.889999866485596,4,0,0
15,SNSY3.SA,2022-07-11,6.889999866485596,6.889999866485596,6.889999866485596,6.889999866485596,0.0,6.889999866485596,0,0,0
16,SNSY3.SA,2022-07-12,6.889999866485596,6.889999866485596,6.889999866485596,6.889999866485596,0.0,6.889999866485596,1,0,0
17,SNSY3.SA,2022-07-13,6.889999866485596,6.889999866485596,6.889999866485596,6.889999866485596,0.0,6.889999866485596,2,0,0
18,SNSY3.SA,2022-07-14,6.849999904632568,6.849999904632568,6.800000190734863,6.800000190734863,300.0,6.800000190734863,3,0,0
19,SNSY3.SA,2022-07-15,6.300000190734863,6.800000190734863,6.300000190734863,6.800000190734863,200.0,6.800000190734863,4,0,0
20,SNSY3.SA,2022-07-18,7.460000038146973,7.460000038146973,7.389999866485596,7.389999866485596,200.0,7.389999866485596,0,0,0
21,SNSY3.SA,2022-07-19,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,0.0,7.389999866485596,1,0,0
22,SNSY3.SA,2022-07-20,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,0.0,7.389999866485596,2,0,0
23,SNSY3.SA,2022-07-21,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,0.0,7.389999866485596,3,0,0
24,SNSY3.SA,2022-07-22,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,0.0,7.389999866485596,4,0,0
25,SNSY3.SA,2022-07-25,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,0.0,7.389999866485596,0,0,0
26,SNSY3.SA,2022-07-26,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,0.0,7.389999866485596,1,0,0
27,SNSY3.SA,2022-07-27,6.78000020980835,6.78000020980835,6.78000020980835,6.78000020980835,200.0,6.78000020980835,2,0,0
28,SNSY3.SA,2022-07-28,6.78000020980835,6.78000020980835,6.78000020980835,6.78000020980835,0.0,6.78000020980835,3,0,0
