date,symbol,open,high,low,close,volume,adjclose,dividends
2022-06-17,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-20,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-21,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-22,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-23,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-24,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-27,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-28,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-29,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-06-30,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-01,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-04,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-05,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-06,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-07,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-08,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-11,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-12,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-13,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-14,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-15,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-18,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-19,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-20,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-21,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-22,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-25,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-26,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-27,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-28,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-07-29,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-01,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-02,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-03,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-04,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-05,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-08,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-09,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-10,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-11,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-12,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-15,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-16,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-17,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-18,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-19,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-22,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
2022-08-23,ELET5.SA,64.5,64.5,64.5,64.5,0.0,62.632286071777344,0.0
