date,symbol,open,high,low,close,volume,adjclose,weekday
2022-09-30,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,4
2022-10-03,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,0
2022-10-04,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,1
2022-10-05,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,2
2022-10-06,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,3
2022-10-07,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,4
2022-10-10,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,0
2022-10-11,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,1
2022-10-13,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,3
2022-10-14,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,4
2022-10-17,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,0
2022-10-18,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,1
2022-10-19,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,2
2022-10-20,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,3
2022-10-21,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,4
2022-10-24,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,0
2022-10-25,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,1
2022-10-26,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,2
2022-10-27,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,3
2022-10-28,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,4
2022-10-31,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,0
2022-11-01,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,1
2022-11-03,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,3
2022-11-04,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,4
2022-11-07,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,0
2022-11-08,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,1
2022-11-09,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,2
2022-11-10,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,3
2022-11-11,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,4
