symbol,open,high,low,close,volume,adjclose,splits
OIBR3.SA,5.0,5.099999904632568,4.800000190734863,4.900000095367432,8831050,4.900000095367432,0.0
OIBR3.SA,4.900000095367432,5.099999904632568,4.699999809265137,5.0,4947850,5.0,0.0
OIBR3.SA,5.0,5.099999904632568,4.800000190734863,4.900000095367432,4929230,4.900000095367432,0.0
OIBR3.SA,4.800000190734863,5.0,4.699999809265137,5.0,4473160,5.0,0.0
OIBR3.SA,5.0,5.099999904632568,4.800000190734863,5.0,4500520,5.0,0.0
OIBR3.SA,5.099999904632568,5.300000190734863,4.900000095367432,5.300000190734863,7161270,5.300000190734863,0.0
OIBR3.SA,5.5,5.800000190734863,5.199999809265137,5.5,11454020,5.5,0.0
OIBR3.SA,5.599999904632568,5.699999809265137,5.300000190734863,5.400000095367432,4980480,5.400000095367432,0.0
OIBR3.SA,5.800000190734863,5.900000095367432,5.5,5.5,10552740,5.5,0.0
OIBR3.SA,5.5,5.900000095367432,5.400000095367432,5.599999904632568,9031250,5.599999904632568,0.0
OIBR3.SA,5.599999904632568,5.699999809265137,5.5,5.599999904632568,5107120,5.599999904632568,0.0
OIBR3.SA,5.599999904632568,5.699999809265137,5.5,5.5,3193910,5.5,0.0
OIBR3.SA,5.5,5.599999904632568,5.199999809265137,5.599999904632568,7054260,5.599999904632568,0.0
OIBR3.SA,5.5,5.5,5.300000190734863,5.400000095367432,6086770,5.400000095367432,0.0
OIBR3.SA,5.400000095367432,5.5,5.300000190734863,5.400000095367432,5115080,5.400000095367432,0.0
OIBR3.SA,5.400000095367432,5.5,5.199999809265137,5.300000190734863,7090150,5.300000190734863,0.0
OIBR3.SA,5.199999809265137,5.300000190734863,4.900000095367432,5.0,5145650,5.0,0.0
OIBR3.SA,5.0,5.199999809265137,4.800000190734863,5.0,6933370,5.0,0.0
OIBR3.SA,5.0,5.099999904632568,4.900000095367432,5.0,5097950,5.0,0.0
OIBR3.SA,4.900000095367432,5.099999904632568,4.800000190734863,5.0,5352770,5.0,0.0
OIBR3.SA,5.0,5.099999904632568,4.900000095367432,5.099999904632568,3401260,5.099999904632568,0.0
OIBR3.SA,5.099999904632568,5.199999809265137,5.0,5.0,3735530,5.0,0.0
OIBR3.SA,5.0,5.099999904632568,4.900000095367432,5.0,3573270,5.0,0.0
OIBR3.SA,5.0,5.099999904632568,4.900000095367432,5.099999904632568,2668230,5.099999904632568,0.0
OIBR3.SA,5.099999904632568,5.099999904632568,4.900000095367432,5.0,2590100,5.0,0.0
OIBR3.SA,5.0,5.099999904632568,4.900000095367432,5.099999904632568,5256890,5.099999904632568,0.0
OIBR3.SA,5.0,5.099999904632568,5.0,5.0,3573570,5.0,0.0
OIBR3.SA,4.900000095367432,5.0,4.800000190734863,4.900000095367432,2954860,4.900000095367432,0.0
OIBR3.SA,4.900000095367432,5.0,4.800000190734863,4.900000095367432,4664720,4.900000095367432,0.0
OIBR3.SA,4.900000095367432,4.900000095367432,4.699999809265137,4.800000190734863,3522140,4.800000190734863,0.0
OIBR3.SA,4.800000190734863,4.900000095367432,4.599999904632568,4.699999809265137,6295090,4.699999809265137,0.0
OIBR3.SA,4.699999809265137,5.099999904632568,4.699999809265137,4.900000095367432,10115690,4.900000095367432,0.0
OIBR3.SA,4.800000190734863,5.0,4.699999809265137,4.800000190734863,5697010,4.800000190734863,0.0
OIBR3.SA,4.800000190734863,5.099999904632568,4.699999809265137,5.0,5767230,5.0,0.0
OIBR3.SA,5.099999904632568,5.5,5.0,5.5,14741780,5.5,0.0
OIBR3.SA,5.400000095367432,6.300000190734863,5.199999809265137,6.199999809265137,11398130,6.199999809265137,0.0
OIBR3.SA,6.599999904632568,7.0,6.199999809265137,6.5,11759540,6.5,0.0
OIBR3.SA,6.599999904632568,6.599999904632568,6.199999809265137,6.300000190734863,3920010,6.300000190734863,0.0
OIBR3.SA,6.599999904632568,6.599999904632568,6.0,6.199999809265137,10541070,6.199999809265137,0.0
