symbol,date,open,high,low,close,volume,adjclose,dividends,weekday,yearday,splits
WLMM4.SA,2023-03-27,22.950000762939453,23.559999465942383,22.950000762939453,23.559999465942383,1800.0,23.242528915405273,0.0,0.0,0.0,0
WLMM4.SA,2023-03-28,23.440000534057617,23.8799991607666,23.440000534057617,23.799999237060547,500.0,23.479293823242188,0.0,0.16666666666666666,0.010752688172043012,0
WLMM4.SA,2023-03-29,23.8700008392334,23.8700008392334,23.649999618530273,23.850000381469727,300.0,23.528621673583984,0.0,0.3333333333333333,0.021505376344086023,0
WLMM4.SA,2023-03-30,23.799999237060547,23.899999618530273,23.5,23.5,1000.0,23.183338165283203,0.0,0.5,0.03225806451612903,0
WLMM4.SA,2023-04-02,23.850000381469727,23.850000381469727,22.040000915527344,23.719999313354492,1000.0,23.400371551513672,0.0,1.0,0.06451612903225806,0
WLMM4.SA,2023-04-03,23.5,23.8799991607666,23.5,23.8799991607666,700.0,23.558216094970703,0.0,0.0,0.07526881720430108,0
WLMM4.SA,2023-04-04,22.75,23.719999313354492,22.579999923706055,23.190000534057617,900.0,22.87751579284668,0.0,0.16666666666666666,0.08602150537634409,0
WLMM4.SA,2023-04-05,23.0,23.389999389648438,22.149999618530273,23.280000686645508,1200.0,22.9663028717041,0.0,0.3333333333333333,0.0967741935483871,0
WLMM4.SA,2023-04-09,23.299999237060547,23.670000076293945,22.6299991607666,23.440000534057617,900.0,23.124147415161133,0.0,1.0,0.13978494623655913,0
WLMM4.SA,2023-04-10,22.510000228881836,22.979999542236328,22.5,22.940000534057617,700.0,22.630884170532227,0.0,0.0,0.15053763440860216,0
WLMM4.SA,2023-04-11,23.6299991607666,23.6299991607666,22.5,23.450000762939453,800.0,23.13401222229004,0.0,0.16666666666666666,0.16129032258064516,0
WLMM4.SA,2023-04-12,22.510000228881836,23.280000686645508,21.809999465942383,21.959999084472656,4800.0,21.664087295532227,0.0,0.3333333333333333,0.17204301075268819,0
WLMM4.SA,2023-04-13,22.5,22.5,21.399999618530273,21.399999618530273,1000.0,21.111635208129883,0.0,0.5,0.1827956989247312,0
WLMM4.SA,2023-04-16,21.799999237060547,21.799999237060547,21.0,21.0,1800.0,20.717025756835938,0.0,1.0,0.21505376344086022,0
WLMM4.SA,2023-04-17,21.399999618530273,21.690000534057617,20.25,20.399999618530273,3700.0,20.12510871887207,0.0,0.0,0.22580645161290322,0
WLMM4.SA,2023-04-18,19.809999465942383,19.809999465942383,18.5,19.0,3000.0,18.743974685668945,0.0,0.16666666666666666,0.23655913978494625,0
WLMM4.SA,2023-04-19,19.5,19.5,18.799999237060547,19.450000762939453,4200.0,19.187911987304688,0.0,0.3333333333333333,0.24731182795698925,0
WLMM4.SA,2023-04-23,19.889999389648438,19.899999618530273,19.0,19.5,2100.0,19.23723793029785,0.0,1.0,0.2903225806451613,0
WLMM4.SA,2023-04-24,19.889999389648438,19.889999389648438,18.899999618530273,19.0,3900.0,18.743974685668945,0.0,0.0,0.3010752688172043,0
WLMM4.SA,2023-04-25,19.84000015258789,19.84000015258789,19.0,19.0,1900.0,18.743974685668945,0.0,0.16666666666666666,0.3118279569892473,0
WLMM4.SA,2023-04-26,19.010000228881836,19.209999084472656,19.010000228881836,19.010000228881836,600.0,18.753841400146484,0.0,0.3333333333333333,0.3225806451612903,0
WLMM4.SA,2023-04-27,19.5,20.0,19.5,20.0,2100.0,19.730499267578125,0.0,0.5,0.3333333333333333,0
WLMM4.SA,2023-05-01,19.989999771118164,19.989999771118164,19.100000381469727,19.200000762939453,1800.0,19.200000762939453,0.2695,0.0,0.3763440860215054,0
WLMM4.SA,2023-05-02,19.399999618530273,19.399999618530273,19.040000915527344,19.399999618530273,1300.0,19.399999618530273,0.0,0.16666666666666666,0.3870967741935484,0
WLMM4.SA,2023-05-03,19.700000762939453,19.899999618530273,18.399999618530273,18.399999618530273,1900.0,18.399999618530273,0.0,0.3333333333333333,0.3978494623655914,0
WLMM4.SA,2023-05-04,19.0,20.0,19.0,20.0,1300.0,20.0,0.0,0.5,0.40860215053763443,0
WLMM4.SA,2023-05-07,20.299999237060547,20.5,20.190000534057617,20.5,700.0,20.5,0.0,1.0,0.44086021505376344,0
WLMM4.SA,2023-05-08,20.700000762939453,20.700000762939453,20.5,20.5,200.0,20.5,0.0,0.0,0.45161290322580644,0
WLMM4.SA,2023-05-09,20.5,20.5,20.5,20.5,0.0,20.5,0.0,0.16666666666666666,0.46236559139784944,0
WLMM4.SA,2023-05-10,20.0,21.0,20.0,21.0,700.0,21.0,0.0,0.3333333333333333,0.4731182795698925,0
WLMM4.SA,2023-05-11,21.489999771118164,22.200000762939453,21.0,22.200000762939453,2200.0,22.200000762939453,0.0,0.5,0.4838709677419355,0
WLMM4.SA,2023-05-14,22.799999237060547,23.0,22.799999237060547,23.0,600.0,23.0,0.0,1.0,0.5161290322580645,0
WLMM4.SA,2023-05-15,23.0,23.0,23.0,23.0,0.0,23.0,0.0,0.0,0.5268817204301075,0
WLMM4.SA,2023-05-16,23.0,23.0,23.0,23.0,0.0,23.0,0.0,0.16666666666666666,0.5376344086021505,0
WLMM4.SA,2023-05-17,23.0,23.0,23.0,23.0,100.0,23.0,0.0,0.3333333333333333,0.5483870967741935,0
