symbol,date,open,high,low,close,volume,adjclose,dividends,weekday,yearday,splits
CEBR3.SA,2023-03-27,12.59000015258789,12.760000228881836,12.029999732971191,12.510000228881836,9100.0,9.949845314025879,0.0,0.0,0.0,0
CEBR3.SA,2023-03-28,12.510000228881836,12.760000228881836,12.449999809265137,12.649999618530273,11900.0,10.06119441986084,0.0,0.16666666666666666,0.010752688172043012,0
CEBR3.SA,2023-03-29,12.329999923706055,12.859999656677246,12.329999923706055,12.75,16600.0,10.140728950500488,0.0,0.3333333333333333,0.021505376344086023,0
CEBR3.SA,2023-03-30,12.850000381469727,13.34000015258789,12.850000381469727,13.140000343322754,21500.0,10.450916290283203,0.0,0.5,0.03225806451612903,0
CEBR3.SA,2023-04-02,13.140000343322754,13.199999809265137,12.899999618530273,13.180000305175781,9600.0,10.482730865478516,0.0,1.0,0.06451612903225806,0
CEBR3.SA,2023-04-03,13.149999618530273,13.300000190734863,13.149999618530273,13.300000190734863,1100.0,10.578173637390137,0.0,0.0,0.07526881720430108,0
CEBR3.SA,2023-04-04,13.300000190734863,13.300000190734863,12.239999771118164,13.289999961853027,6700.0,10.570219039916992,0.0,0.16666666666666666,0.08602150537634409,0
CEBR3.SA,2023-04-05,13.390000343322754,13.420000076293945,12.949999809265137,12.989999771118164,3500.0,10.331613540649414,0.0,0.3333333333333333,0.0967741935483871,0
CEBR3.SA,2023-04-09,13.050000190734863,13.25,13.010000228881836,13.069999694824219,6100.0,10.395241737365723,0.0,1.0,0.13978494623655913,0
CEBR3.SA,2023-04-10,13.270000457763672,13.270000457763672,13.09000015258789,13.09000015258789,4500.0,10.411149024963379,0.0,0.0,0.15053763440860216,0
CEBR3.SA,2023-04-11,13.390000343322754,13.970000267028809,13.09000015258789,13.119999885559082,6000.0,10.435009956359863,0.0,0.16666666666666666,0.16129032258064516,0
CEBR3.SA,2023-04-12,13.220000267028809,13.710000038146973,13.039999961853027,13.220000267028809,14000.0,10.514544486999512,0.0,0.3333333333333333,0.17204301075268819,0
CEBR3.SA,2023-04-13,13.600000381469727,13.600000381469727,13.220000267028809,13.300000190734863,16000.0,10.578173637390137,0.0,0.5,0.1827956989247312,0
CEBR3.SA,2023-04-16,13.5,13.5,13.329999923706055,13.5,6500.0,10.737242698669434,0.0,1.0,0.21505376344086022,0
CEBR3.SA,2023-04-17,13.3100004196167,13.869999885559082,13.210000038146973,13.479999542236328,6000.0,10.721336364746094,0.0,0.0,0.22580645161290322,0
CEBR3.SA,2023-04-18,13.479999542236328,13.5,13.130000114440918,13.449999809265137,34300.0,10.69747543334961,0.0,0.16666666666666666,0.23655913978494625,0
CEBR3.SA,2023-04-19,13.5,13.729999542236328,13.279999732971191,13.550000190734863,12200.0,10.777010917663574,0.0,0.3333333333333333,0.24731182795698925,0
