symbol,date,open,high,low,close,volume,adjclose,weekday,yearday,dividends,splits
CPLE3.SA,2023-03-28,6.179999828338623,6.199999809265137,6.03000020980835,6.150000095367432,1787400.0,6.150000095367432,0.16666666666666666,0.0,0.0,0.0
CPLE3.SA,2023-03-29,6.170000076293945,6.28000020980835,6.139999866485596,6.269999980926514,1757800.0,6.269999980926514,0.3333333333333333,0.010752688172043012,0.0,0.0
CPLE3.SA,2023-03-30,6.28000020980835,6.289999961853027,6.179999828338623,6.239999771118164,1104600.0,6.239999771118164,0.5,0.021505376344086023,0.0,0.0
CPLE3.SA,2023-03-31,6.28000020980835,6.289999961853027,6.179999828338623,6.239999771118164,1104600.0,6.239999771118164,0.5,0.021505376344086023,0.0,0.0
CPLE3.SA,2023-04-02,6.289999961853027,6.289999961853027,6.099999904632568,6.190000057220459,1569900.0,6.190000057220459,1.0,0.053763440860215055,0.0,0.0
CPLE3.SA,2023-04-03,6.239999771118164,6.340000152587891,6.170000076293945,6.340000152587891,2185800.0,6.340000152587891,0.0,0.06451612903225806,0.0,0.0
CPLE3.SA,2023-04-04,6.309999942779541,6.349999904632568,6.210000038146973,6.340000152587891,1698900.0,6.340000152587891,0.16666666666666666,0.07526881720430108,0.0,0.0
CPLE3.SA,2023-04-05,6.320000171661377,6.340000152587891,6.239999771118164,6.329999923706055,1406700.0,6.329999923706055,0.3333333333333333,0.08602150537634409,0.0,0.0
CPLE3.SA,2023-04-06,6.320000171661377,6.340000152587891,6.239999771118164,6.329999923706055,1406700.0,6.329999923706055,0.3333333333333333,0.08602150537634409,0.0,0.0
CPLE3.SA,2023-04-09,6.329999923706055,6.349999904632568,6.260000228881836,6.349999904632568,1366900.0,6.349999904632568,1.0,0.12903225806451613,0.0,0.0
CPLE3.SA,2023-04-10,6.420000076293945,6.730000019073486,6.420000076293945,6.599999904632568,6403700.0,6.599999904632568,0.0,0.13978494623655913,0.0,0.0
CPLE3.SA,2023-04-11,6.599999904632568,6.880000114440918,6.559999942779541,6.809999942779541,4257800.0,6.809999942779541,0.16666666666666666,0.15053763440860216,0.0,0.0
